Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-APK-0002,Group,Shared Experience,Trip,Travel,Expense,2026-06-16,03:13:25,2026-06-16 03:13:25,24638.31,INR,-24638.31,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0002,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-APK-GROUP-TRIP-0002 | Travel | 24638.31,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
704,MTR-APK-0704,Group,Shared Experience,Trip,Food,Expense,2025-09-29,17:55:10,2025-09-29 17:55:10,14695.47,INR,-14695.47,APK Owner,3,EXACT,MAESTRO-APK-GROUP-TRIP-0704 | Food | 14695.47,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0704,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-APK-GROUP-TRIP-0704 | Food | 14695.47,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
707,MTR-APK-0707,Group,Shared Experience,Trip,Local Transport,Expense,2026-03-19,04:01:27,2026-03-19 04:01:27,10822.12,INR,-10822.12,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-TRIP-0707 | Local Transport | 10822.12,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0707,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Local Transport,MAESTRO-APK-GROUP-TRIP-0707 | Local Transport | 10822.12,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
710,MTR-APK-0710,Group,Shared Experience,Trip,Activities,Expense,2026-05-16,09:20:30,2026-05-16 09:20:30,22464.77,INR,-22464.77,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-TRIP-0710 | Activities | 22464.77,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0710,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-APK-GROUP-TRIP-0710 | Activities | 22464.77,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
713,MTR-APK-0713,Group,Shared Experience,Trip,Shopping,Expense,2026-04-08,14:16:59,2026-04-08 14:16:59,5253.26,INR,-5253.26,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-TRIP-0713 | Shopping | 5253.26,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0713,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shopping,MAESTRO-APK-GROUP-TRIP-0713 | Shopping | 5253.26,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
716,MTR-APK-0716,Group,Shared Experience,Trip,Other,Expense,2025-10-18,17:02:44,2025-10-18 17:02:44,4620.9,INR,-4620.9,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-TRIP-0716 | Other | 4620.90,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0716,android,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-APK-GROUP-TRIP-0716 | Other | 4620.90,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
719,MTR-APK-0719,Group,Shared Experience,Wedding,Venue,Expense,2026-01-21,12:42:18,2026-01-21 12:42:18,19462.91,INR,-19462.91,APK Meera,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0719 | Venue | 19462.91,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0719,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Venue,MAESTRO-APK-GROUP-WEDDING-0719 | Venue | 19462.91,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
722,MTR-APK-0722,Group,Shared Experience,Wedding,Catering,Expense,2026-04-01,17:41:44,2026-04-01 17:41:44,27643.31,INR,-27643.31,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0722 | Catering | 27643.31,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0722,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Catering,MAESTRO-APK-GROUP-WEDDING-0722 | Catering | 27643.31,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
725,MTR-APK-0725,Group,Shared Experience,Wedding,Decor,Expense,2025-12-24,16:29:27,2025-12-24 16:29:27,6148.1,INR,-6148.1,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0725 | Decor | 6148.10,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0725,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-APK-GROUP-WEDDING-0725 | Decor | 6148.10,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
728,MTR-APK-0728,Group,Shared Experience,Wedding,Travel,Expense,2026-04-06,23:56:03,2026-04-06 23:56:03,15920.39,INR,-15920.39,APK Meera,3,EXACT,MAESTRO-APK-GROUP-WEDDING-0728 | Travel | 15920.39,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0728,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-APK-GROUP-WEDDING-0728 | Travel | 15920.39,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
731,MTR-APK-0731,Group,Shared Experience,Wedding,Gifts,Expense,2025-09-02,20:47:49,2025-09-02 20:47:49,8905.45,INR,-8905.45,APK Owner,3,SHARES,MAESTRO-APK-GROUP-WEDDING-0731 | Gifts | 8905.45,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0731,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Gifts,MAESTRO-APK-GROUP-WEDDING-0731 | Gifts | 8905.45,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
734,MTR-APK-0734,Group,Shared Experience,Wedding,Photography,Expense,2026-06-10,07:06:12,2026-06-10 07:06:12,18763.93,INR,-18763.93,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-WEDDING-0734 | Photography | 18763.93,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0734,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Photography,MAESTRO-APK-GROUP-WEDDING-0734 | Photography | 18763.93,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
737,MTR-APK-0737,Group,Shared Experience,Wedding,Other,Expense,2026-03-16,02:20:05,2026-03-16 02:20:05,24163.28,INR,-24163.28,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-WEDDING-0737 | Other | 24163.28,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0737,android,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-APK-GROUP-WEDDING-0737 | Other | 24163.28,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
740,MTR-APK-0740,Group,Shared Experience,Office Outing,Food,Expense,2026-02-09,00:14:10,2026-02-09 00:14:10,99.99,INR,-99.99,APK Owner,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0740 | Food | 99.99,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0740,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-APK-GROUP-OFFICE_OUTING-0740 | Food | 99.99,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
743,MTR-APK-0743,Group,Shared Experience,Office Outing,Travel,Expense,2025-09-27,03:17:59,2025-09-27 03:17:59,3286.45,INR,-3286.45,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-OFFICE_OUTING-0743 | Travel | 3286.45,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0743,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Travel,MAESTRO-APK-GROUP-OFFICE_OUTING-0743 | Travel | 3286.45,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
746,MTR-APK-0746,Group,Shared Experience,Office Outing,Activities,Expense,2026-02-06,09:02:49,2026-02-06 09:02:49,25119.83,INR,-25119.83,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-OFFICE_OUTING-0746 | Activities | 25119.83,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0746,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-APK-GROUP-OFFICE_OUTING-0746 | Activities | 25119.83,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
749,MTR-APK-0749,Group,Shared Experience,Office Outing,Venue,Expense,2025-12-14,16:29:47,2025-12-14 16:29:47,8528.31,INR,-8528.31,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-OFFICE_OUTING-0749 | Venue | 8528.31,Android,B15,RAMP_501_1500,CREATED,idem-20260902-apk-0749,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Venue,MAESTRO-APK-GROUP-OFFICE_OUTING-0749 | Venue | 8528.31,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
752,MTR-APK-0752,Group,Shared Experience,Office Outing,Other,Expense,2026-05-11,00:55:45,2026-05-11 00:55:45,5688.92,INR,-5688.92,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0752 | Other | 5688.92,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0752,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-APK-GROUP-OFFICE_OUTING-0752 | Other | 5688.92,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
755,MTR-APK-0755,Group,Shared Experience,House Party,Food,Expense,2025-12-16,10:27:41,2025-12-16 10:27:41,11309.44,INR,-11309.44,APK Meera,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0755 | Food | 11309.44,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0755,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Food,MAESTRO-APK-GROUP-HOUSE_PARTY-0755 | Food | 11309.44,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
758,MTR-APK-0758,Group,Shared Experience,House Party,Drinks,Expense,2026-01-24,23:56:30,2026-01-24 23:56:30,27281.41,INR,-27281.41,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-HOUSE_PARTY-0758 | Drinks | 27281.41,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0758,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Drinks,MAESTRO-APK-GROUP-HOUSE_PARTY-0758 | Drinks | 27281.41,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
761,MTR-APK-0761,Group,Shared Experience,House Party,Decor,Expense,2025-12-21,08:20:52,2025-12-21 08:20:52,13479.69,INR,-13479.69,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-HOUSE_PARTY-0761 | Decor | 13479.69,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0761,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-APK-GROUP-HOUSE_PARTY-0761 | Decor | 13479.69,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
764,MTR-APK-0764,Group,Shared Experience,House Party,Supplies,Expense,2025-11-16,18:39:31,2025-11-16 18:39:31,5363.18,INR,-5363.18,APK Meera,3,EXACT,MAESTRO-APK-GROUP-HOUSE_PARTY-0764 | Supplies | 5363.18,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0764,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Supplies,MAESTRO-APK-GROUP-HOUSE_PARTY-0764 | Supplies | 5363.18,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
767,MTR-APK-0767,Group,Shared Experience,House Party,Other,Expense,2025-11-11,10:44:00,2025-11-11 10:44:00,1616.6,INR,-1616.6,APK Owner,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0767 | Other | 1616.60,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0767,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-HOUSE_PARTY-0767 | Other | 1616.60,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
770,MTR-APK-0770,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-08-03,12:16:15,2026-08-03 12:16:15,4319.35,INR,4319.35,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-GIFT_POOL-0770 | Contribution | 4319.35,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0770,android,G05,GIFT_POOL,Contribute,G05:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.equal,Contribution,MAESTRO-APK-GROUP-GIFT_POOL-0770 | Contribution | 4319.35,JOINED,
773,MTR-APK-0773,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2026-07-11,03:30:30,2026-07-11 03:30:30,27094.04,INR,-27094.04,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-GIFT_POOL-0773 | Gift Purchase | 27094.04,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0773,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Gift Purchase,MAESTRO-APK-GROUP-GIFT_POOL-0773 | Gift Purchase | 27094.04,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
776,MTR-APK-0776,Group,Shared Purchase,Gift Pool,Delivery,Expense,2025-09-27,09:40:23,2025-09-27 09:40:23,22337.87,INR,-22337.87,APK Owner,3,EXACT,MAESTRO-APK-GROUP-GIFT_POOL-0776 | Delivery | 22337.87,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0776,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Delivery,MAESTRO-APK-GROUP-GIFT_POOL-0776 | Delivery | 22337.87,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
779,MTR-APK-0779,Group,Shared Purchase,Gift Pool,Other,Expense,2025-09-27,08:42:33,2025-09-27 08:42:33,1487.59,INR,-1487.59,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-GIFT_POOL-0779 | Other | 1487.59,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0779,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-GIFT_POOL-0779 | Other | 1487.59,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
782,MTR-APK-0782,Group,Shared Purchase,Purchase,Item,Expense,2026-05-20,12:30:25,2026-05-20 12:30:25,10325.95,INR,-10325.95,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-PURCHASE-0782 | Item | 10325.95,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0782,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Item,MAESTRO-APK-GROUP-PURCHASE-0782 | Item | 10325.95,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
785,MTR-APK-0785,Group,Shared Purchase,Purchase,Shipping,Expense,2026-04-01,00:39:47,2026-04-01 00:39:47,25744.76,INR,-25744.76,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-PURCHASE-0785 | Shipping | 25744.76,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0785,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shipping,MAESTRO-APK-GROUP-PURCHASE-0785 | Shipping | 25744.76,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
788,MTR-APK-0788,Group,Shared Purchase,Purchase,Tax,Expense,2026-07-03,15:13:13,2026-07-03 15:13:13,7403.43,INR,-7403.43,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-PURCHASE-0788 | Tax | 7403.43,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0788,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Tax,MAESTRO-APK-GROUP-PURCHASE-0788 | Tax | 7403.43,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
791,MTR-APK-0791,Group,Shared Purchase,Purchase,Other,Expense,2025-10-14,17:47:21,2025-10-14 17:47:21,1321.75,INR,-1321.75,APK Meera,3,SHARES,MAESTRO-APK-GROUP-PURCHASE-0791 | Other | 1321.75,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0791,android,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-PURCHASE-0791 | Other | 1321.75,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
794,MTR-APK-0794,Group,Shared Purchase,Assets,Purchase,Expense,2026-06-10,14:22:55,2026-06-10 14:22:55,22265.2,INR,-22265.2,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-ASSETS-0794 | Purchase | 22265.20,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0794,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Purchase,MAESTRO-APK-GROUP-ASSETS-0794 | Purchase | 22265.20,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
797,MTR-APK-0797,Group,Shared Purchase,Assets,Maintenance,Expense,2025-12-19,20:48:42,2025-12-19 20:48:42,538.8,INR,-538.8,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-ASSETS-0797 | Maintenance | 538.80,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0797,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Maintenance,MAESTRO-APK-GROUP-ASSETS-0797 | Maintenance | 538.80,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
800,MTR-APK-0800,Group,Shared Purchase,Assets,Repair,Expense,2026-04-20,07:24:42,2026-04-20 07:24:42,21574.46,INR,-21574.46,APK Meera,3,EXACT,MAESTRO-APK-GROUP-ASSETS-0800 | Repair | 21574.46,Android,B16,RAMP_501_1500,CREATED,idem-20260902-apk-0800,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Repair,MAESTRO-APK-GROUP-ASSETS-0800 | Repair | 21574.46,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
803,MTR-APK-0803,Group,Shared Purchase,Assets,Insurance,Expense,2026-08-22,01:36:25,2026-08-22 01:36:25,24455.65,INR,-24455.65,APK Owner,3,SHARES,MAESTRO-APK-GROUP-ASSETS-0803 | Insurance | 24455.65,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0803,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Insurance,MAESTRO-APK-GROUP-ASSETS-0803 | Insurance | 24455.65,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
806,MTR-APK-0806,Group,Shared Purchase,Assets,Other,Expense,2025-11-11,06:26:21,2025-11-11 06:26:21,18920.13,INR,-18920.13,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-ASSETS-0806 | Other | 18920.13,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0806,android,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Other,MAESTRO-APK-GROUP-ASSETS-0806 | Other | 18920.13,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
809,MTR-APK-0809,Group,Shared Purchase,Custom Purchase,Custom Expense,Expense,2026-07-06,03:06:03,2026-07-06 03:06:03,9778.01,INR,-9778.01,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0809 | Custom Expense | 9778.01,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0809,android,G08,COMMUNITY_PURCHASE,Expense,G08:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Custom Expense,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0809 | Custom Expense | 9778.01,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
812,MTR-APK-0812,Group,Shared Purchase,Custom Purchase,Custom Contribution,Contribution,2026-04-29,06:27:20,2026-04-29 06:27:20,4051.85,INR,4051.85,APK Owner,3,EXACT,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0812 | Custom Contribution | 4051.85,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0812,android,G08,COMMUNITY_PURCHASE,Contribute,G08:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.exact,Custom Contribution,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0812 | Custom Contribution | 4051.85,JOINED,
815,MTR-APK-0815,Group,Shared Living,Flatmates,Rent,Expense,2026-06-21,23:09:55,2026-06-21 23:09:55,27481.42,INR,-27481.42,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-FLATMATES-0815 | Rent | 27481.42,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0815,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Rent,MAESTRO-APK-GROUP-FLATMATES-0815 | Rent | 27481.42,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
818,MTR-APK-0818,Group,Shared Living,Flatmates,Utilities,Expense,2025-10-05,10:38:14,2025-10-05 10:38:14,22040.56,INR,-22040.56,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-FLATMATES-0818 | Utilities | 22040.56,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0818,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Utilities,MAESTRO-APK-GROUP-FLATMATES-0818 | Utilities | 22040.56,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
821,MTR-APK-0821,Group,Shared Living,Flatmates,Groceries,Expense,2026-08-13,11:54:13,2026-08-13 11:54:13,2730.14,INR,-2730.14,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-FLATMATES-0821 | Groceries | 2730.14,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0821,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Groceries,MAESTRO-APK-GROUP-FLATMATES-0821 | Groceries | 2730.14,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
824,MTR-APK-0824,Group,Shared Living,Flatmates,Internet,Expense,2026-05-09,12:12:32,2026-05-09 12:12:32,20344.94,INR,-20344.94,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-FLATMATES-0824 | Internet | 20344.94,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0824,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Internet,MAESTRO-APK-GROUP-FLATMATES-0824 | Internet | 20344.94,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
827,MTR-APK-0827,Group,Shared Living,Flatmates,House Supplies,Expense,2026-07-21,09:16:46,2026-07-21 09:16:46,15689.23,INR,-15689.23,APK Meera,3,SHARES,MAESTRO-APK-GROUP-FLATMATES-0827 | House Supplies | 15689.23,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0827,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,House Supplies,MAESTRO-APK-GROUP-FLATMATES-0827 | House Supplies | 15689.23,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
830,MTR-APK-0830,Group,Shared Living,Flatmates,Repairs,Expense,2026-04-06,07:08:32,2026-04-06 07:08:32,12596.67,INR,-12596.67,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-FLATMATES-0830 | Repairs | 12596.67,Android,B17,RAMP_501_1500,CREATED,idem-20260902-apk-0830,android,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Repairs,MAESTRO-APK-GROUP-FLATMATES-0830 | Repairs | 12596.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
