Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001
928,MTR-APK-0928,Personal,Personal,Future Building,Education,Expense,2026-06-13,22:13:35,2026-06-13 22:13:35,15718.46,INR,-15718.46,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0928 | Education | 15718.46,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0928
929,MTR-APK-0929,Group,Shared Experience,House Party,Food,Expense,2025-10-27,18:18:38,2025-10-27 18:18:38,24577.8,INR,-24577.8,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-HOUSE_PARTY-0929 | Food | 24577.80,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0929
930,MTR-APK-0930,Business,Business,Business Operations,Marketing,Expense,2026-07-17,19:11:02,2026-07-17 19:11:02,10793.41,INR,-10793.41,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0930 | Marketing | 10793.41,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0930
931,MTR-APK-0931,Personal,Personal,Future Building,Goal Contribution,Transfer,2025-10-01,07:37:08,2025-10-01 07:37:08,13738.27,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0931 | Goal Contribution | 13738.27,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0931
932,MTR-APK-0932,Group,Shared Experience,House Party,Drinks,Expense,2026-04-12,05:50:02,2026-04-12 05:50:02,14338.49,INR,-14338.49,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-HOUSE_PARTY-0932 | Drinks | 14338.49,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0932
933,MTR-APK-0933,Business,Business,Business Operations,Legal,Expense,2026-08-10,01:01:42,2026-08-10 01:01:42,102817.49,INR,-102817.49,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0933 | Legal | 102817.49,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0933
934,MTR-APK-0934,Personal,Personal,Lifestyle,Dining,Expense,2025-09-03,21:22:57,2025-09-03 21:22:57,12677.99,INR,-12677.99,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0934 | Dining | 12677.99,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0934
935,MTR-APK-0935,Group,Shared Experience,House Party,Decor,Expense,2026-01-15,16:13:09,2026-01-15 16:13:09,29343.18,INR,-29343.18,APK Meera,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0935 | Decor | 29343.18,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0935
936,MTR-APK-0936,Business,Business,Business Operations,Accounting,Expense,2025-12-27,08:52:19,2025-12-27 08:52:19,159256.14,INR,-159256.14,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0936 | Accounting | 159256.14,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0936
937,MTR-APK-0937,Personal,Personal,Lifestyle,Shopping,Expense,2026-04-08,14:59:53,2026-04-08 14:59:53,12821.41,INR,-12821.41,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0937 | Shopping | 12821.41,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0937
938,MTR-APK-0938,Group,Shared Experience,House Party,Supplies,Expense,2026-06-04,19:27:19,2026-06-04 19:27:19,25071.64,INR,-25071.64,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-HOUSE_PARTY-0938 | Supplies | 25071.64,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0938
939,MTR-APK-0939,Business,Business,Business Operations,Equipment,Expense,2026-03-31,19:22:50,2026-03-31 19:22:50,38467.24,INR,-38467.24,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0939 | Equipment | 38467.24,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0939
940,MTR-APK-0940,Personal,Personal,Lifestyle,Entertainment,Expense,2025-12-13,08:18:49,2025-12-13 08:18:49,6110.46,INR,-6110.46,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0940 | Entertainment | 6110.46,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0940
941,MTR-APK-0941,Group,Shared Experience,House Party,Other,Expense,2026-08-31,01:27:11,2026-08-31 01:27:11,6025.86,INR,-6025.86,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-HOUSE_PARTY-0941 | Other | 6025.86,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0941
942,MTR-APK-0942,Business,Business,Business Operations,Vendor,Expense,2025-10-06,18:59:16,2025-10-06 18:59:16,61584.9,INR,-61584.9,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0942 | Vendor | 61584.90,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0942
943,MTR-APK-0943,Personal,Personal,Lifestyle,Travel,Expense,2026-04-17,15:17:00,2026-04-17 15:17:00,17486.22,INR,-17486.22,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0943 | Travel | 17486.22,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0943
944,MTR-APK-0944,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-05-26,21:02:05,2026-05-26 21:02:05,22697.94,INR,22697.94,APK Meera,3,EXACT,MAESTRO-APK-GROUP-GIFT_POOL-0944 | Contribution | 22697.94,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0944
945,MTR-APK-0945,Business,Business,Business Operations,Tax,Expense,2026-04-29,01:25:32,2026-04-29 01:25:32,49752.17,INR,-49752.17,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0945 | Tax | 49752.17,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0945
946,MTR-APK-0946,Personal,Personal,Lifestyle,Fitness,Expense,2026-02-27,06:41:54,2026-02-27 06:41:54,8520.57,INR,-8520.57,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0946 | Fitness | 8520.57,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0946
947,MTR-APK-0947,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2025-12-22,15:30:06,2025-12-22 15:30:06,20329.41,INR,-20329.41,APK Owner,3,SHARES,MAESTRO-APK-GROUP-GIFT_POOL-0947 | Gift Purchase | 20329.41,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0947
948,MTR-APK-0948,Business,Business,Team Operations,Payroll,Expense,2025-09-04,21:44:20,2025-09-04 21:44:20,103489.12,INR,-103489.12,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0948 | Payroll | 103489.12,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0948
949,MTR-APK-0949,Personal,Personal,Lifestyle,Hobbies,Expense,2026-04-21,13:39:54,2026-04-21 13:39:54,1361.67,INR,-1361.67,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0949 | Hobbies | 1361.67,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0949
950,MTR-APK-0950,Group,Shared Purchase,Gift Pool,Delivery,Expense,2026-07-25,00:29:49,2026-07-25 00:29:49,1722.6,INR,-1722.6,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-GIFT_POOL-0950 | Delivery | 1722.60,Android,B19,RAMP_501_1500,CREATED,idem-20260902-apk-0950
951,MTR-APK-0951,Business,Business,Team Operations,Contractor,Expense,2026-05-09,12:56:12,2026-05-09 12:56:12,64886.9,INR,-64886.9,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0951 | Contractor | 64886.90,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0951
952,MTR-APK-0952,Personal,Personal,Relationships,Gifts,Expense,2026-09-01,06:15:26,2026-09-01 06:15:26,15581.83,INR,-15581.83,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0952 | Gifts | 15581.83,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0952
953,MTR-APK-0953,Group,Shared Purchase,Gift Pool,Other,Expense,2026-07-11,06:52:06,2026-07-11 06:52:06,8426.21,INR,-8426.21,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-GIFT_POOL-0953 | Other | 8426.21,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0953
954,MTR-APK-0954,Business,Business,Team Operations,Hiring,Expense,2026-04-10,07:46:28,2026-04-10 07:46:28,101615.14,INR,-101615.14,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0954 | Hiring | 101615.14,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0954
955,MTR-APK-0955,Personal,Personal,Relationships,Dates,Expense,2026-08-01,17:33:26,2026-08-01 17:33:26,6873.38,INR,-6873.38,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0955 | Dates | 6873.38,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0955
956,MTR-APK-0956,Group,Shared Purchase,Purchase,Item,Expense,2026-08-19,12:53:24,2026-08-19 12:53:24,13476.29,INR,-13476.29,APK Owner,3,EXACT,MAESTRO-APK-GROUP-PURCHASE-0956 | Item | 13476.29,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0956
957,MTR-APK-0957,Business,Business,Team Operations,Team Meal,Expense,2025-11-04,12:00:36,2025-11-04 12:00:36,14021.4,INR,-14021.4,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0957 | Team Meal | 14021.40,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0957
958,MTR-APK-0958,Personal,Personal,Relationships,Family,Expense,2026-03-22,00:49:07,2026-03-22 00:49:07,2727.07,INR,-2727.07,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0958 | Family | 2727.07,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0958
959,MTR-APK-0959,Group,Shared Purchase,Purchase,Shipping,Expense,2026-06-10,15:20:36,2026-06-10 15:20:36,11801.72,INR,-11801.72,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-PURCHASE-0959 | Shipping | 11801.72,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0959
960,MTR-APK-0960,Business,Business,Team Operations,Travel,Expense,2025-11-29,08:02:39,2025-11-29 08:02:39,19529.39,INR,-19529.39,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0960 | Travel | 19529.39,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0960
961,MTR-APK-0961,Personal,Personal,Relationships,Friends,Expense,2026-06-28,03:03:10,2026-06-28 03:03:10,8564.82,INR,-8564.82,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0961 | Friends | 8564.82,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0961
962,MTR-APK-0962,Group,Shared Purchase,Purchase,Tax,Expense,2026-07-18,04:46:47,2026-07-18 04:46:47,99.99,INR,-99.99,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-PURCHASE-0962 | Tax | 99.99,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0962
963,MTR-APK-0963,Business,Business,Team Operations,Training,Expense,2026-04-06,17:10:04,2026-04-06 17:10:04,136640.68,INR,-136640.68,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0963 | Training | 136640.68,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0963
964,MTR-APK-0964,Personal,Personal,Relationships,Celebrations,Expense,2026-03-16,05:18:22,2026-03-16 05:18:22,9918.77,INR,-9918.77,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0964 | Celebrations | 9918.77,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0964
965,MTR-APK-0965,Group,Shared Purchase,Purchase,Other,Expense,2026-02-01,02:33:59,2026-02-01 02:33:59,16528.26,INR,-16528.26,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-PURCHASE-0965 | Other | 16528.26,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0965
966,MTR-APK-0966,Business,Business,Team Operations,Tools,Expense,2026-07-25,19:22:00,2026-07-25 19:22:00,120070.32,INR,-120070.32,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0966 | Tools | 120070.32,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0966
967,MTR-APK-0967,Personal,Personal,Life Operations,Groceries,Expense,2026-05-26,06:40:30,2026-05-26 06:40:30,6351.2,INR,-6351.2,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0967 | Groceries | 6351.20,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0967
968,MTR-APK-0968,Group,Shared Purchase,Assets,Purchase,Expense,2026-07-27,08:39:40,2026-07-27 08:39:40,20413.31,INR,-20413.31,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-ASSETS-0968 | Purchase | 20413.31,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0968
969,MTR-APK-0969,Business,Business,Business Runway,Funding,Income,2025-10-24,23:46:10,2025-10-24 23:46:10,67739.49,INR,67739.49,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0969 | Funding | 67739.49,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0969
970,MTR-APK-0970,Personal,Personal,Life Operations,Rent,Expense,2025-10-18,10:57:26,2025-10-18 10:57:26,8054.23,INR,-8054.23,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0970 | Rent | 8054.23,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0970
971,MTR-APK-0971,Group,Shared Purchase,Assets,Maintenance,Expense,2026-07-27,02:30:46,2026-07-27 02:30:46,13352.51,INR,-13352.51,APK Meera,3,SHARES,MAESTRO-APK-GROUP-ASSETS-0971 | Maintenance | 13352.51,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0971
972,MTR-APK-0972,Business,Business,Business Runway,Revenue,Income,2025-10-28,03:22:02,2025-10-28 03:22:02,47395.91,INR,47395.91,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0972 | Revenue | 47395.91,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0972
973,MTR-APK-0973,Personal,Personal,Life Operations,Bills,Expense,2026-04-09,16:13:24,2026-04-09 16:13:24,19080.47,INR,-19080.47,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0973 | Bills | 19080.47,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0973
974,MTR-APK-0974,Group,Shared Purchase,Assets,Repair,Expense,2026-08-31,20:08:43,2026-08-31 20:08:43,28181.95,INR,-28181.95,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-ASSETS-0974 | Repair | 28181.95,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0974
975,MTR-APK-0975,Business,Business,Business Runway,Burn,Expense,2026-03-04,02:15:04,2026-03-04 02:15:04,176965.25,INR,-176965.25,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0975 | Burn | 176965.25,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0975
976,MTR-APK-0976,Personal,Personal,Life Operations,Transport,Expense,2025-11-24,23:13:19,2025-11-24 23:13:19,13174.2,INR,-13174.2,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0976 | Transport | 13174.20,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0976
977,MTR-APK-0977,Group,Shared Purchase,Assets,Insurance,Expense,2026-03-26,18:36:26,2026-03-26 18:36:26,7892.29,INR,-7892.29,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-ASSETS-0977 | Insurance | 7892.29,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0977
978,MTR-APK-0978,Business,Business,Business Runway,Reserve,Transfer,2025-12-26,06:55:45,2025-12-26 06:55:45,4478.06,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0978 | Reserve | 4478.06,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0978
979,MTR-APK-0979,Personal,Personal,Life Operations,Healthcare,Expense,2025-10-23,12:20:36,2025-10-23 12:20:36,8669.38,INR,-8669.38,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0979 | Healthcare | 8669.38,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0979
980,MTR-APK-0980,Group,Shared Purchase,Assets,Other,Expense,2026-01-12,21:44:17,2026-01-12 21:44:17,1600.27,INR,-1600.27,APK Meera,3,EXACT,MAESTRO-APK-GROUP-ASSETS-0980 | Other | 1600.27,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0980
981,MTR-APK-0981,Business,Business,Business Runway,Loan,Income,2026-08-22,19:34:00,2026-08-22 19:34:00,33229.46,INR,33229.46,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0981 | Loan | 33229.46,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0981
982,MTR-APK-0982,Personal,Personal,Life Operations,Subscriptions,Expense,2026-03-14,11:29:35,2026-03-14 11:29:35,4875.37,INR,-4875.37,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0982 | Subscriptions | 4875.37,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0982
983,MTR-APK-0983,Group,Shared Purchase,Custom Purchase,Custom Expense,Expense,2026-01-02,20:20:59,2026-01-02 20:20:59,22650.19,INR,-22650.19,APK Owner,3,SHARES,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0983 | Custom Expense | 22650.19,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0983
984,MTR-APK-0984,Business,Business,Business Runway,Investment,Income,2026-01-09,02:08:03,2026-01-09 02:08:03,169582.93,INR,169582.93,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0984 | Investment | 169582.93,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0984
985,MTR-APK-0985,Personal,Personal,Life Operations,Repairs,Expense,2026-05-31,06:42:36,2026-05-31 06:42:36,3638.35,INR,-3638.35,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0985 | Repairs | 3638.35,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0985
986,MTR-APK-0986,Group,Shared Purchase,Custom Purchase,Custom Contribution,Contribution,2026-03-25,11:00:19,2026-03-25 11:00:19,25720.44,INR,25720.44,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-CUSTOM_PURCHASE-0986 | Custom Contribution | 25720.44,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0986
987,MTR-APK-0987,Business,Business,Business Operations,Software,Expense,2026-07-31,14:48:20,2026-07-31 14:48:20,68312.17,INR,-68312.17,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0987 | Software | 68312.17,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0987
988,MTR-APK-0988,Personal,Personal,Future Building,Savings,Transfer,2025-10-16,16:06:06,2025-10-16 16:06:06,19493.2,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0988 | Savings | 19493.20,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0988
989,MTR-APK-0989,Group,Shared Living,Flatmates,Rent,Expense,2026-04-27,00:30:05,2026-04-27 00:30:05,13872.33,INR,-13872.33,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-FLATMATES-0989 | Rent | 13872.33,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0989
990,MTR-APK-0990,Business,Business,Business Operations,Rent,Expense,2026-05-03,03:13:14,2026-05-03 03:13:14,128033.15,INR,-128033.15,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0990 | Rent | 128033.15,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0990
991,MTR-APK-0991,Personal,Personal,Future Building,Emergency Fund,Transfer,2025-11-04,16:30:26,2025-11-04 16:30:26,809.93,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0991 | Emergency Fund | 809.93,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0991
992,MTR-APK-0992,Group,Shared Living,Flatmates,Utilities,Expense,2026-03-19,21:31:17,2026-03-19 21:31:17,8081.93,INR,-8081.93,APK Owner,3,EXACT,MAESTRO-APK-GROUP-FLATMATES-0992 | Utilities | 8081.93,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0992
993,MTR-APK-0993,Business,Business,Business Operations,Marketing,Expense,2026-07-31,17:27:15,2026-07-31 17:27:15,89500.53,INR,-89500.53,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0993 | Marketing | 89500.53,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0993
994,MTR-APK-0994,Personal,Personal,Future Building,Investments,Investment,2026-02-23,20:23:26,2026-02-23 20:23:26,17385.7,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0994 | Investments | 17385.70,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0994
995,MTR-APK-0995,Group,Shared Living,Flatmates,Groceries,Expense,2026-04-28,10:38:26,2026-04-28 10:38:26,18771.0,INR,-18771.0,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-FLATMATES-0995 | Groceries | 18771.00,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0995
996,MTR-APK-0996,Business,Business,Business Operations,Legal,Expense,2026-03-19,17:56:54,2026-03-19 17:56:54,87732.12,INR,-87732.12,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0996 | Legal | 87732.12,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0996
997,MTR-APK-0997,Personal,Personal,Future Building,Education,Expense,2025-11-03,19:16:08,2025-11-03 19:16:08,7619.15,INR,-7619.15,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-0997 | Education | 7619.15,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0997
998,MTR-APK-0998,Group,Shared Living,Flatmates,Internet,Expense,2026-08-21,07:30:23,2026-08-21 07:30:23,1292.76,INR,-1292.76,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-FLATMATES-0998 | Internet | 1292.76,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0998
999,MTR-APK-0999,Business,Business,Business Operations,Accounting,Expense,2026-03-01,15:33:46,2026-03-01 15:33:46,100.0,INR,-100.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0999 | Accounting | 100.00,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-0999
1000,MTR-APK-1000,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-04-09,15:11:31,2026-04-09 15:11:31,15657.97,INR,0.0,APK Owner,,,MAESTRO-APK-PERSONAL-FUTURE_BUILDING-1000 | Goal Contribution | 15657.97,Android,B20,RAMP_501_1500,CREATED,idem-20260902-apk-1000
1001,MTR-APK-1001,Group,Shared Living,Flatmates,House Supplies,Expense,2026-04-26,21:41:34,2026-04-26 21:41:34,5101.98,INR,-5101.98,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-FLATMATES-1001 | House Supplies | 5101.98,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1001
1002,MTR-APK-1002,Business,Business,Business Operations,Equipment,Expense,2026-02-21,23:25:24,2026-02-21 23:25:24,46474.27,INR,-46474.27,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1002 | Equipment | 46474.27,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1002
1003,MTR-APK-1003,Personal,Personal,Lifestyle,Dining,Expense,2026-01-28,18:22:04,2026-01-28 18:22:04,10443.74,INR,-10443.74,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-1003 | Dining | 10443.74,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1003
1004,MTR-APK-1004,Group,Shared Living,Flatmates,Repairs,Expense,2025-10-06,14:59:59,2025-10-06 14:59:59,23248.3,INR,-23248.3,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-FLATMATES-1004 | Repairs | 23248.30,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1004
1005,MTR-APK-1005,Business,Business,Business Operations,Vendor,Expense,2025-09-09,14:04:22,2025-09-09 14:04:22,151590.4,INR,-151590.4,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1005 | Vendor | 151590.40,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1005
1006,MTR-APK-1006,Personal,Personal,Lifestyle,Shopping,Expense,2026-01-24,02:26:18,2026-01-24 02:26:18,12203.67,INR,-12203.67,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-1006 | Shopping | 12203.67,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1006
1007,MTR-APK-1007,Group,Shared Living,Shared Living,Rent,Expense,2026-08-15,08:30:03,2026-08-15 08:30:03,26172.12,INR,-26172.12,APK Meera,3,SHARES,MAESTRO-APK-GROUP-SHARED_LIVING-1007 | Rent | 26172.12,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1007
1008,MTR-APK-1008,Business,Business,Business Operations,Tax,Expense,2025-09-22,18:49:07,2025-09-22 18:49:07,130871.08,INR,-130871.08,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-1008 | Tax | 130871.08,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1008
1009,MTR-APK-1009,Personal,Personal,Lifestyle,Entertainment,Expense,2026-03-20,04:28:33,2026-03-20 04:28:33,14191.18,INR,-14191.18,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-1009 | Entertainment | 14191.18,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1009
1010,MTR-APK-1010,Group,Shared Living,Shared Living,Utilities,Expense,2026-06-02,11:03:39,2026-06-02 11:03:39,15665.8,INR,-15665.8,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-SHARED_LIVING-1010 | Utilities | 15665.80,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1010
1011,MTR-APK-1011,Business,Business,Team Operations,Payroll,Expense,2026-06-30,14:17:14,2026-06-30 14:17:14,38523.51,INR,-38523.51,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-1011 | Payroll | 38523.51,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1011
1012,MTR-APK-1012,Personal,Personal,Lifestyle,Travel,Expense,2026-02-11,05:56:48,2026-02-11 05:56:48,17754.34,INR,-17754.34,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-1012 | Travel | 17754.34,Android,B21,RAMP_501_1500,CREATED,idem-20260902-apk-1012
