Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-APK-0003,Business,Business,Team Operations,Payroll,Expense,2026-02-28,00:36:32,2026-02-28 00:36:32,150101.63,INR,-150101.63,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0003,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 150101.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
387,MTR-APK-0387,Business,Business,Team Operations,Hiring,Expense,2025-10-20,20:53:12,2025-10-20 20:53:12,133556.56,INR,-133556.56,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0387 | Hiring | 133556.56,Android,B08,BASELINE_1_500,CREATED,idem-20260902-apk-0387,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0387 | Hiring | 133556.56,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
390,MTR-APK-0390,Business,Business,Team Operations,Team Meal,Expense,2026-04-07,19:32:17,2026-04-07 19:32:17,50557.73,INR,-50557.73,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0390 | Team Meal | 50557.73,Android,B08,BASELINE_1_500,CREATED,idem-20260902-apk-0390,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0390 | Team Meal | 50557.73,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
393,MTR-APK-0393,Business,Business,Team Operations,Travel,Expense,2026-04-01,06:28:57,2026-04-01 06:28:57,90865.33,INR,-90865.33,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0393 | Travel | 90865.33,Android,B08,BASELINE_1_500,CREATED,idem-20260902-apk-0393,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0393 | Travel | 90865.33,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
396,MTR-APK-0396,Business,Business,Team Operations,Training,Expense,2025-09-18,14:19:14,2025-09-18 14:19:14,146255.8,INR,-146255.8,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0396 | Training | 146255.80,Android,B08,BASELINE_1_500,CREATED,idem-20260902-apk-0396,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0396 | Training | 146255.80,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
399,MTR-APK-0399,Business,Business,Team Operations,Tools,Expense,2026-07-21,07:43:07,2026-07-21 07:43:07,15180.28,INR,-15180.28,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0399 | Tools | 15180.28,Android,B08,BASELINE_1_500,CREATED,idem-20260902-apk-0399,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0399 | Tools | 15180.28,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
402,MTR-APK-0402,Business,Business,Business Runway,Funding,Income,2025-09-13,20:04:03,2025-09-13 20:04:03,165869.02,INR,165869.02,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0402 | Funding | 165869.02,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0402,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0402 | Funding | 165869.02,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
405,MTR-APK-0405,Business,Business,Business Runway,Revenue,Income,2025-10-21,22:25:14,2025-10-21 22:25:14,107841.9,INR,107841.9,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0405 | Revenue | 107841.90,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0405,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0405 | Revenue | 107841.90,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
408,MTR-APK-0408,Business,Business,Business Runway,Burn,Expense,2026-01-24,10:22:17,2026-01-24 10:22:17,84655.42,INR,-84655.42,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0408 | Burn | 84655.42,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0408,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0408 | Burn | 84655.42,JOINED,Runway Log Expense
411,MTR-APK-0411,Business,Business,Business Runway,Reserve,Transfer,2025-12-17,15:56:02,2025-12-17 15:56:02,53455.08,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0411 | Reserve | 53455.08,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0411,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0411 | Reserve | 53455.08,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
414,MTR-APK-0414,Business,Business,Business Runway,Loan,Income,2026-06-21,20:44:42,2026-06-21 20:44:42,165363.19,INR,165363.19,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0414 | Loan | 165363.19,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0414,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0414 | Loan | 165363.19,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
417,MTR-APK-0417,Business,Business,Business Runway,Investment,Income,2025-10-05,09:29:06,2025-10-05 09:29:06,150927.58,INR,150927.58,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0417 | Investment | 150927.58,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0417,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0417 | Investment | 150927.58,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
420,MTR-APK-0420,Business,Business,Business Operations,Software,Expense,2026-08-10,01:15:28,2026-08-10 01:15:28,97323.51,INR,-97323.51,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0420 | Software | 97323.51,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0420,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0420 | Software | 97323.51,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
423,MTR-APK-0423,Business,Business,Business Operations,Rent,Expense,2025-11-02,04:09:22,2025-11-02 04:09:22,73132.72,INR,-73132.72,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0423 | Rent | 73132.72,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0423,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0423 | Rent | 73132.72,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
426,MTR-APK-0426,Business,Business,Business Operations,Marketing,Expense,2026-02-06,08:40:35,2026-02-06 08:40:35,156897.83,INR,-156897.83,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0426 | Marketing | 156897.83,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0426,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0426 | Marketing | 156897.83,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
429,MTR-APK-0429,Business,Business,Business Operations,Legal,Expense,2026-08-17,05:13:37,2026-08-17 05:13:37,93280.48,INR,-93280.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0429 | Legal | 93280.48,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0429,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0429 | Legal | 93280.48,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
432,MTR-APK-0432,Business,Business,Business Operations,Accounting,Expense,2025-11-29,13:35:13,2025-11-29 13:35:13,24736.84,INR,-24736.84,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0432 | Accounting | 24736.84,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0432,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0432 | Accounting | 24736.84,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
435,MTR-APK-0435,Business,Business,Business Operations,Equipment,Expense,2026-06-15,22:47:20,2026-06-15 22:47:20,173892.97,INR,-173892.97,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0435 | Equipment | 173892.97,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0435,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0435 | Equipment | 173892.97,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
438,MTR-APK-0438,Business,Business,Business Operations,Vendor,Expense,2026-01-24,05:35:48,2026-01-24 05:35:48,115554.35,INR,-115554.35,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0438 | Vendor | 115554.35,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0438,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0438 | Vendor | 115554.35,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
441,MTR-APK-0441,Business,Business,Business Operations,Tax,Expense,2025-10-28,18:06:31,2025-10-28 18:06:31,78074.39,INR,-78074.39,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0441 | Tax | 78074.39,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0441,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0441 | Tax | 78074.39,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
444,MTR-APK-0444,Business,Business,Team Operations,Payroll,Expense,2026-02-03,10:15:20,2026-02-03 10:15:20,0.01,INR,-0.01,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0444 | Payroll | 0.01,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0444,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0444 | Payroll | 0.01,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
447,MTR-APK-0447,Business,Business,Team Operations,Contractor,Expense,2025-11-12,13:38:32,2025-11-12 13:38:32,100302.92,INR,-100302.92,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0447 | Contractor | 100302.92,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0447,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0447 | Contractor | 100302.92,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
450,MTR-APK-0450,Business,Business,Team Operations,Hiring,Expense,2025-12-15,23:25:04,2025-12-15 23:25:04,12378.08,INR,-12378.08,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0450 | Hiring | 12378.08,Android,B09,BASELINE_1_500,CREATED,idem-20260902-apk-0450,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0450 | Hiring | 12378.08,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
453,MTR-APK-0453,Business,Business,Team Operations,Team Meal,Expense,2025-12-26,08:00:35,2025-12-26 08:00:35,92042.11,INR,-92042.11,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0453 | Team Meal | 92042.11,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0453,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0453 | Team Meal | 92042.11,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
456,MTR-APK-0456,Business,Business,Team Operations,Travel,Expense,2026-03-04,03:00:43,2026-03-04 03:00:43,94941.07,INR,-94941.07,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0456 | Travel | 94941.07,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0456,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0456 | Travel | 94941.07,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
459,MTR-APK-0459,Business,Business,Team Operations,Training,Expense,2026-04-12,18:48:22,2026-04-12 18:48:22,49033.17,INR,-49033.17,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0459 | Training | 49033.17,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0459,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0459 | Training | 49033.17,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
462,MTR-APK-0462,Business,Business,Team Operations,Tools,Expense,2026-06-15,04:20:36,2026-06-15 04:20:36,133446.12,INR,-133446.12,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0462 | Tools | 133446.12,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0462,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0462 | Tools | 133446.12,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
465,MTR-APK-0465,Business,Business,Business Runway,Funding,Income,2026-07-31,19:14:09,2026-07-31 19:14:09,138274.86,INR,138274.86,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0465 | Funding | 138274.86,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0465,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0465 | Funding | 138274.86,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
468,MTR-APK-0468,Business,Business,Business Runway,Revenue,Income,2025-10-15,20:38:50,2025-10-15 20:38:50,47361.17,INR,47361.17,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0468 | Revenue | 47361.17,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0468,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0468 | Revenue | 47361.17,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
471,MTR-APK-0471,Business,Business,Business Runway,Burn,Expense,2026-01-17,23:22:05,2026-01-17 23:22:05,62668.74,INR,-62668.74,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0471 | Burn | 62668.74,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0471,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0471 | Burn | 62668.74,JOINED,Runway Log Expense
474,MTR-APK-0474,Business,Business,Business Runway,Reserve,Transfer,2026-03-25,06:00:56,2026-03-25 06:00:56,123313.01,INR,0.0,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0474 | Reserve | 123313.01,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0474,android,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0474 | Reserve | 123313.01,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
477,MTR-APK-0477,Business,Business,Business Runway,Loan,Income,2025-10-08,21:36:25,2025-10-08 21:36:25,25761.06,INR,25761.06,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0477 | Loan | 25761.06,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0477,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0477 | Loan | 25761.06,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
480,MTR-APK-0480,Business,Business,Business Runway,Investment,Income,2026-06-18,20:20:47,2026-06-18 20:20:47,28032.28,INR,28032.28,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0480 | Investment | 28032.28,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0480,android,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-APK-BUSINESS-BUSINESS_RUNWAY-0480 | Investment | 28032.28,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
483,MTR-APK-0483,Business,Business,Business Operations,Software,Expense,2025-12-12,12:04:21,2025-12-12 12:04:21,83512.33,INR,-83512.33,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0483 | Software | 83512.33,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0483,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0483 | Software | 83512.33,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
486,MTR-APK-0486,Business,Business,Business Operations,Rent,Expense,2025-09-17,04:24:09,2025-09-17 04:24:09,81284.47,INR,-81284.47,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0486 | Rent | 81284.47,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0486,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0486 | Rent | 81284.47,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
489,MTR-APK-0489,Business,Business,Business Operations,Marketing,Expense,2025-12-27,19:18:10,2025-12-27 19:18:10,4544.39,INR,-4544.39,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0489 | Marketing | 4544.39,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0489,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0489 | Marketing | 4544.39,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
492,MTR-APK-0492,Business,Business,Business Operations,Legal,Expense,2025-11-04,07:57:12,2025-11-04 07:57:12,152418.42,INR,-152418.42,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0492 | Legal | 152418.42,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0492,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0492 | Legal | 152418.42,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
495,MTR-APK-0495,Business,Business,Business Operations,Accounting,Expense,2026-07-29,04:29:21,2026-07-29 04:29:21,134184.16,INR,-134184.16,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0495 | Accounting | 134184.16,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0495,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0495 | Accounting | 134184.16,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
498,MTR-APK-0498,Business,Business,Business Operations,Equipment,Expense,2025-10-13,13:42:04,2025-10-13 13:42:04,138739.77,INR,-138739.77,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0498 | Equipment | 138739.77,Android,B10,BASELINE_1_500,CREATED,idem-20260902-apk-0498,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0498 | Equipment | 138739.77,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
501,MTR-APK-0501,Business,Business,Business Operations,Vendor,Expense,2025-10-23,13:06:59,2025-10-23 13:06:59,76677.71,INR,-76677.71,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0501 | Vendor | 76677.71,Android,B11,RAMP_501_1500,CREATED,idem-20260902-apk-0501,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0501 | Vendor | 76677.71,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
504,MTR-APK-0504,Business,Business,Business Operations,Tax,Expense,2025-10-02,14:40:18,2025-10-02 14:40:18,148659.07,INR,-148659.07,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0504 | Tax | 148659.07,Android,B11,RAMP_501_1500,CREATED,idem-20260902-apk-0504,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0504 | Tax | 148659.07,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
507,MTR-APK-0507,Business,Business,Team Operations,Payroll,Expense,2025-10-08,06:01:01,2025-10-08 06:01:01,43070.77,INR,-43070.77,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0507 | Payroll | 43070.77,Android,B11,RAMP_501_1500,CREATED,idem-20260902-apk-0507,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0507 | Payroll | 43070.77,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
510,MTR-APK-0510,Business,Business,Team Operations,Contractor,Expense,2025-12-17,04:39:22,2025-12-17 04:39:22,1847.9,INR,-1847.9,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0510 | Contractor | 1847.90,Android,B11,RAMP_501_1500,CREATED,idem-20260902-apk-0510,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0510 | Contractor | 1847.90,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
