Method,Path,NormalizedRoute,InRouter,AndroidApi,iOSApi,AndroidRepoCalls,iOSRepoCalls,ClientStatus,ParentGap
POST,/v1/moments/{momentId}/attendance,POST /v1/moments/{}/attendance,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/living-rules,GET /v1/group/moments/{}/living-rules,True,True,True,,,UNWIRED_REPO,SP-013
POST,/v1/moments/{momentId}/living-rules,POST /v1/moments/{}/living-rules,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/shared-assets,GET /v1/group/moments/{}/shared-assets,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/shared-assets,POST /v1/moments/{}/shared-assets,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/maintenance-records,GET /v1/group/moments/{}/maintenance-records,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/maintenance-records,POST /v1/moments/{}/maintenance-records,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/moments/{momentId}/settlements,POST /v1/moments/{}/settlements,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/group/invites,POST /v1/group/invites,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/MomentCreateRepository.kt;apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/invites/{code},GET /v1/group/invites/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/group/invites/{code}/redeem,POST /v1/group/invites/{}/redeem,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/company/invites,POST /v1/company/invites,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/company/invites/{code},GET /v1/company/invites/{},True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/company/invites/{code}/redeem,POST /v1/company/invites/{}/redeem,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/analytics/metrics,GET /v1/analytics/metrics,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/analytics/refresh,POST /v1/analytics/refresh,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
POST,/v1/ai/action-proposals/{actionProposalId}/execute,POST /v1/ai/action-proposals/{}/execute,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/life360,GET /v1/life360,True,True,True,,momentra/momentra/Shell/ShellMeGateway.swift;momentra/momentra/Shell/ShellMeGateway.swift,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/pulse,GET /v1/business/moments/{}/pulse,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/life,GET /v1/business/moments/{}/life,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/memory,GET /v1/business/moments/{}/memory,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/finance,GET /v1/business/moments/{}/finance,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/BusinessSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/business/moments/{momentId}/actions,GET /v1/business/moments/{}/actions,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/expenses,GET /v1/business/moments/{}/expenses,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/revenues,GET /v1/business/moments/{}/revenues,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/invoices,GET /v1/business/moments/{}/invoices,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/issues,GET /v1/business/moments/{}/issues,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/improvements,GET /v1/business/moments/{}/improvements,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/updates,GET /v1/business/moments/{}/updates,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/approvals,GET /v1/business/moments/{}/approvals,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/business/moments/{momentId}/memories,GET /v1/business/moments/{}/memories,True,True,True,,,UNWIRED_REPO,SP-013
GET,/v1/group/moments/{momentId}/pulse,GET /v1/group/moments/{}/pulse,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/life,GET /v1/group/moments/{}/life,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/memory,GET /v1/group/moments/{}/memory,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
GET,/v1/group/moments/{momentId}/finance,GET /v1/group/moments/{}/finance,True,True,True,apk/app/src/main/java/com/example/momentra/data/repository/GroupSliceRepository.kt,,PARTIAL_REPO,SP-013
