Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
3,MTR-IOS-0003,Business,Business,Team Operations,Payroll,Expense,2026-04-19,12:08:42,2026-04-19 12:08:42,57453.63,INR,-57453.63,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0003,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0003 | Payroll | 57453.63,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
591,MTR-IOS-0591,Business,Business,Business Runway,Funding,Income,2026-05-29,18:11:18,2026-05-29 18:11:18,126911.75,INR,126911.75,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0591 | Funding | 126911.75,iPhone,B12,RAMP_501_1500,CREATED,idem-20260902-ios-0591,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0591 | Funding | 126911.75,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
594,MTR-IOS-0594,Business,Business,Business Runway,Revenue,Income,2026-03-25,06:24:32,2026-03-25 06:24:32,89244.51,INR,89244.51,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0594 | Revenue | 89244.51,iPhone,B12,RAMP_501_1500,CREATED,idem-20260902-ios-0594,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0594 | Revenue | 89244.51,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
597,MTR-IOS-0597,Business,Business,Business Runway,Burn,Expense,2026-03-19,05:26:06,2026-03-19 05:26:06,28203.59,INR,-28203.59,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0597 | Burn | 28203.59,iPhone,B12,RAMP_501_1500,CREATED,idem-20260902-ios-0597,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0597 | Burn | 28203.59,JOINED,Runway Log Expense
600,MTR-IOS-0600,Business,Business,Business Runway,Reserve,Transfer,2025-09-27,21:00:06,2025-09-27 21:00:06,103457.56,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0600 | Reserve | 103457.56,iPhone,B12,RAMP_501_1500,CREATED,idem-20260902-ios-0600,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0600 | Reserve | 103457.56,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
603,MTR-IOS-0603,Business,Business,Business Runway,Loan,Income,2025-09-17,02:16:50,2025-09-17 02:16:50,26296.26,INR,26296.26,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0603 | Loan | 26296.26,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0603,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0603 | Loan | 26296.26,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
606,MTR-IOS-0606,Business,Business,Business Runway,Investment,Income,2026-07-10,04:09:54,2026-07-10 04:09:54,95656.63,INR,95656.63,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0606 | Investment | 95656.63,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0606,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0606 | Investment | 95656.63,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
609,MTR-IOS-0609,Business,Business,Business Operations,Software,Expense,2025-09-11,03:02:50,2025-09-11 03:02:50,156650.57,INR,-156650.57,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0609 | Software | 156650.57,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0609,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0609 | Software | 156650.57,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
612,MTR-IOS-0612,Business,Business,Business Operations,Rent,Expense,2025-09-24,00:03:50,2025-09-24 00:03:50,101478.04,INR,-101478.04,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0612 | Rent | 101478.04,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0612,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0612 | Rent | 101478.04,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
615,MTR-IOS-0615,Business,Business,Business Operations,Marketing,Expense,2026-08-06,12:00:00,2026-08-06 12:00:00,50081.47,INR,-50081.47,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0615 | Marketing | 50081.47,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0615,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0615 | Marketing | 50081.47,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
618,MTR-IOS-0618,Business,Business,Business Operations,Legal,Expense,2026-01-16,23:33:22,2026-01-16 23:33:22,115076.85,INR,-115076.85,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0618 | Legal | 115076.85,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0618,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0618 | Legal | 115076.85,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
621,MTR-IOS-0621,Business,Business,Business Operations,Accounting,Expense,2026-07-12,01:45:48,2026-07-12 01:45:48,2881.94,INR,-2881.94,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0621 | Accounting | 2881.94,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0621,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0621 | Accounting | 2881.94,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
624,MTR-IOS-0624,Business,Business,Business Operations,Equipment,Expense,2026-04-14,06:49:20,2026-04-14 06:49:20,86576.31,INR,-86576.31,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0624 | Equipment | 86576.31,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0624,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0624 | Equipment | 86576.31,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
627,MTR-IOS-0627,Business,Business,Business Operations,Vendor,Expense,2025-12-19,01:49:21,2025-12-19 01:49:21,37462.12,INR,-37462.12,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0627 | Vendor | 37462.12,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0627,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0627 | Vendor | 37462.12,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
630,MTR-IOS-0630,Business,Business,Business Operations,Tax,Expense,2025-11-03,03:09:09,2025-11-03 03:09:09,113547.7,INR,-113547.7,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0630 | Tax | 113547.70,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0630,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0630 | Tax | 113547.70,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
633,MTR-IOS-0633,Business,Business,Team Operations,Payroll,Expense,2025-09-18,22:25:10,2025-09-18 22:25:10,73021.27,INR,-73021.27,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0633 | Payroll | 73021.27,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0633,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0633 | Payroll | 73021.27,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
636,MTR-IOS-0636,Business,Business,Team Operations,Contractor,Expense,2026-04-07,02:10:11,2026-04-07 02:10:11,158475.94,INR,-158475.94,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0636 | Contractor | 158475.94,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0636,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0636 | Contractor | 158475.94,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
639,MTR-IOS-0639,Business,Business,Team Operations,Hiring,Expense,2026-05-10,07:51:14,2026-05-10 07:51:14,113980.06,INR,-113980.06,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0639 | Hiring | 113980.06,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0639,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0639 | Hiring | 113980.06,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
642,MTR-IOS-0642,Business,Business,Team Operations,Team Meal,Expense,2025-09-19,19:12:25,2025-09-19 19:12:25,39146.32,INR,-39146.32,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0642 | Team Meal | 39146.32,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0642,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0642 | Team Meal | 39146.32,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
645,MTR-IOS-0645,Business,Business,Team Operations,Travel,Expense,2026-08-24,10:30:14,2026-08-24 10:30:14,110744.17,INR,-110744.17,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0645 | Travel | 110744.17,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0645,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0645 | Travel | 110744.17,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
648,MTR-IOS-0648,Business,Business,Team Operations,Training,Expense,2026-02-28,21:06:38,2026-02-28 21:06:38,116121.95,INR,-116121.95,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0648 | Training | 116121.95,iPhone,B13,RAMP_501_1500,CREATED,idem-20260902-ios-0648,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0648 | Training | 116121.95,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
651,MTR-IOS-0651,Business,Business,Team Operations,Tools,Expense,2025-10-18,17:30:20,2025-10-18 17:30:20,77257.32,INR,-77257.32,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0651 | Tools | 77257.32,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0651,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0651 | Tools | 77257.32,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
654,MTR-IOS-0654,Business,Business,Business Runway,Funding,Income,2026-06-18,01:34:21,2026-06-18 01:34:21,17416.81,INR,17416.81,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0654 | Funding | 17416.81,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0654,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Funding,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0654 | Funding | 17416.81,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
657,MTR-IOS-0657,Business,Business,Business Runway,Revenue,Income,2025-12-10,10:16:55,2025-12-10 10:16:55,156133.13,INR,156133.13,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0657 | Revenue | 156133.13,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0657,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Revenue,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0657 | Revenue | 156133.13,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
660,MTR-IOS-0660,Business,Business,Business Runway,Burn,Expense,2025-12-08,12:43:59,2025-12-08 12:43:59,45200.28,INR,-45200.28,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0660 | Burn | 45200.28,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0660,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,business.expense.amount,business.expense.note,business.expense.submit,,Burn,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0660 | Burn | 45200.28,JOINED,Runway Log Expense
663,MTR-IOS-0663,Business,Business,Business Runway,Reserve,Transfer,2026-07-26,18:33:52,2026-07-26 18:33:52,63590.72,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0663 | Reserve | 63590.72,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0663,ios,B02,BUSINESS_RUNWAY,Expense,B02:Expense,ACTIVE,qa.tile.expense,,,,,Reserve,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0663 | Reserve | 63590.72,JOINED_REVIEW,Reserve transfer → Runway expense/movement proxy — REVIEW
666,MTR-IOS-0666,Business,Business,Business Runway,Loan,Income,2025-09-13,00:13:07,2025-09-13 00:13:07,0.01,INR,0.01,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0666 | Loan | 0.01,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0666,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Loan,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0666 | Loan | 0.01,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
669,MTR-IOS-0669,Business,Business,Business Runway,Investment,Income,2026-06-18,14:39:53,2026-06-18 14:39:53,105148.78,INR,105148.78,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0669 | Investment | 105148.78,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0669,ios,B02,BUSINESS_RUNWAY,Revenue,B02:Revenue,ACTIVE,qa.tile.revenue,business.revenue.amount,,business.revenue.submit,,Investment,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0669 | Investment | 105148.78,JOINED,Funding/Investment/Loan/Revenue → Runway Revenue
672,MTR-IOS-0672,Business,Business,Business Operations,Software,Expense,2026-01-26,19:19:11,2026-01-26 19:19:11,79573.49,INR,-79573.49,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0672 | Software | 79573.49,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0672,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Software,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0672 | Software | 79573.49,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
675,MTR-IOS-0675,Business,Business,Business Operations,Rent,Expense,2026-06-22,07:20:01,2026-06-22 07:20:01,90412.63,INR,-90412.63,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0675 | Rent | 90412.63,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0675,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0675 | Rent | 90412.63,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
678,MTR-IOS-0678,Business,Business,Business Operations,Marketing,Expense,2026-04-12,09:13:02,2026-04-12 09:13:02,106145.75,INR,-106145.75,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0678 | Marketing | 106145.75,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0678,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0678 | Marketing | 106145.75,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
681,MTR-IOS-0681,Business,Business,Business Operations,Legal,Expense,2025-11-20,01:20:06,2025-11-20 01:20:06,66718.7,INR,-66718.7,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0681 | Legal | 66718.70,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0681,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0681 | Legal | 66718.70,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
684,MTR-IOS-0684,Business,Business,Business Operations,Accounting,Expense,2026-03-11,21:17:09,2026-03-11 21:17:09,45441.68,INR,-45441.68,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0684 | Accounting | 45441.68,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0684,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0684 | Accounting | 45441.68,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
687,MTR-IOS-0687,Business,Business,Business Operations,Equipment,Expense,2026-06-29,17:48:23,2026-06-29 17:48:23,156479.18,INR,-156479.18,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0687 | Equipment | 156479.18,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0687,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0687 | Equipment | 156479.18,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
690,MTR-IOS-0690,Business,Business,Business Operations,Vendor,Expense,2026-02-27,13:06:54,2026-02-27 13:06:54,54000.51,INR,-54000.51,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0690 | Vendor | 54000.51,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0690,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0690 | Vendor | 54000.51,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
693,MTR-IOS-0693,Business,Business,Business Operations,Tax,Expense,2026-02-27,04:14:57,2026-02-27 04:14:57,103463.52,INR,-103463.52,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0693 | Tax | 103463.52,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0693,ios,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0693 | Tax | 103463.52,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
696,MTR-IOS-0696,Business,Business,Team Operations,Payroll,Expense,2026-04-10,07:05:10,2026-04-10 07:05:10,103715.04,INR,-103715.04,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0696 | Payroll | 103715.04,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0696,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0696 | Payroll | 103715.04,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
699,MTR-IOS-0699,Business,Business,Team Operations,Contractor,Expense,2026-07-26,09:39:53,2026-07-26 09:39:53,55338.53,INR,-55338.53,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0699 | Contractor | 55338.53,iPhone,B14,RAMP_501_1500,CREATED,idem-20260902-ios-0699,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0699 | Contractor | 55338.53,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
702,MTR-IOS-0702,Business,Business,Team Operations,Hiring,Expense,2026-03-29,09:05:31,2026-03-29 09:05:31,10190.11,INR,-10190.11,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0702 | Hiring | 10190.11,iPhone,B15,RAMP_501_1500,CREATED,idem-20260902-ios-0702,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0702 | Hiring | 10190.11,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
705,MTR-IOS-0705,Business,Business,Team Operations,Team Meal,Expense,2026-03-18,20:38:14,2026-03-18 20:38:14,150844.06,INR,-150844.06,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0705 | Team Meal | 150844.06,iPhone,B15,RAMP_501_1500,CREATED,idem-20260902-ios-0705,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0705 | Team Meal | 150844.06,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
708,MTR-IOS-0708,Business,Business,Team Operations,Travel,Expense,2025-11-14,07:25:07,2025-11-14 07:25:07,6816.0,INR,-6816.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0708 | Travel | 6816.00,iPhone,B15,RAMP_501_1500,CREATED,idem-20260902-ios-0708,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0708 | Travel | 6816.00,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
711,MTR-IOS-0711,Business,Business,Team Operations,Training,Expense,2025-12-22,04:23:08,2025-12-22 04:23:08,89853.31,INR,-89853.31,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0711 | Training | 89853.31,iPhone,B15,RAMP_501_1500,CREATED,idem-20260902-ios-0711,ios,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0711 | Training | 89853.31,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
