Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
2,MTR-IOS-0002,Group,Shared Experience,Trip,Travel,Expense,2026-01-01,17:33:29,2026-01-01 17:33:29,26868.32,INR,-26868.32,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0002,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-TRIP-0002 | Travel | 26868.32,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
434,MTR-IOS-0434,Group,Shared Purchase,Purchase,Item,Expense,2026-06-09,04:20:10,2026-06-09 04:20:10,20412.85,INR,-20412.85,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-PURCHASE-0434 | Item | 20412.85,iPhone,B09,BASELINE_1_500,CREATED,idem-20260902-ios-0434,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Item,MAESTRO-IOS-GROUP-PURCHASE-0434 | Item | 20412.85,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
437,MTR-IOS-0437,Group,Shared Purchase,Purchase,Shipping,Expense,2026-03-30,13:35:07,2026-03-30 13:35:07,13270.79,INR,-13270.79,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-PURCHASE-0437 | Shipping | 13270.79,iPhone,B09,BASELINE_1_500,CREATED,idem-20260902-ios-0437,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Shipping,MAESTRO-IOS-GROUP-PURCHASE-0437 | Shipping | 13270.79,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
440,MTR-IOS-0440,Group,Shared Purchase,Purchase,Tax,Expense,2026-06-27,21:43:56,2026-06-27 21:43:56,4529.41,INR,-4529.41,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-PURCHASE-0440 | Tax | 4529.41,iPhone,B09,BASELINE_1_500,CREATED,idem-20260902-ios-0440,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Tax,MAESTRO-IOS-GROUP-PURCHASE-0440 | Tax | 4529.41,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
443,MTR-IOS-0443,Group,Shared Purchase,Purchase,Other,Expense,2025-12-31,00:27:27,2025-12-31 00:27:27,4612.25,INR,-4612.25,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-PURCHASE-0443 | Other | 4612.25,iPhone,B09,BASELINE_1_500,CREATED,idem-20260902-ios-0443,ios,G06,GROUP_PURCHASE,Expense,G06:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-IOS-GROUP-PURCHASE-0443 | Other | 4612.25,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
446,MTR-IOS-0446,Group,Shared Purchase,Assets,Purchase,Expense,2026-03-19,11:38:21,2026-03-19 11:38:21,10059.0,INR,-10059.0,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-ASSETS-0446 | Purchase | 10059.00,iPhone,B09,BASELINE_1_500,CREATED,idem-20260902-ios-0446,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Purchase,MAESTRO-IOS-GROUP-ASSETS-0446 | Purchase | 10059.00,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
449,MTR-IOS-0449,Group,Shared Purchase,Assets,Maintenance,Expense,2025-11-29,04:34:23,2025-11-29 04:34:23,922.4,INR,-922.4,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-ASSETS-0449 | Maintenance | 922.40,iPhone,B09,BASELINE_1_500,CREATED,idem-20260902-ios-0449,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Maintenance,MAESTRO-IOS-GROUP-ASSETS-0449 | Maintenance | 922.40,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
452,MTR-IOS-0452,Group,Shared Purchase,Assets,Repair,Expense,2026-03-29,21:01:03,2026-03-29 21:01:03,21974.48,INR,-21974.48,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-ASSETS-0452 | Repair | 21974.48,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0452,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Repair,MAESTRO-IOS-GROUP-ASSETS-0452 | Repair | 21974.48,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
455,MTR-IOS-0455,Group,Shared Purchase,Assets,Insurance,Expense,2025-11-26,12:12:40,2025-11-26 12:12:40,21419.35,INR,-21419.35,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-ASSETS-0455 | Insurance | 21419.35,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0455,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Insurance,MAESTRO-IOS-GROUP-ASSETS-0455 | Insurance | 21419.35,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
458,MTR-IOS-0458,Group,Shared Purchase,Assets,Other,Expense,2025-09-06,00:18:13,2025-09-06 00:18:13,26005.71,INR,-26005.71,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-ASSETS-0458 | Other | 26005.71,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0458,ios,G07,SHARED_ASSET,Expense,G07:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Other,MAESTRO-IOS-GROUP-ASSETS-0458 | Other | 26005.71,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
461,MTR-IOS-0461,Group,Shared Purchase,Custom Purchase,Custom Expense,Expense,2026-06-25,17:45:29,2026-06-25 17:45:29,21413.66,INR,-21413.66,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0461 | Custom Expense | 21413.66,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0461,ios,G08,COMMUNITY_PURCHASE,Expense,G08:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Custom Expense,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0461 | Custom Expense | 21413.66,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
464,MTR-IOS-0464,Group,Shared Purchase,Custom Purchase,Custom Contribution,Contribution,2026-08-30,19:49:04,2026-08-30 19:49:04,3789.99,INR,3789.99,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0464 | Custom Contribution | 3789.99,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0464,ios,G08,COMMUNITY_PURCHASE,Contribute,G08:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.exact,Custom Contribution,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0464 | Custom Contribution | 3789.99,JOINED,
467,MTR-IOS-0467,Group,Shared Living,Flatmates,Rent,Expense,2026-03-12,14:55:54,2026-03-12 14:55:54,7817.0,INR,-7817.0,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-FLATMATES-0467 | Rent | 7817.00,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0467,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Rent,MAESTRO-IOS-GROUP-FLATMATES-0467 | Rent | 7817.00,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
470,MTR-IOS-0470,Group,Shared Living,Flatmates,Utilities,Expense,2026-04-04,13:06:15,2026-04-04 13:06:15,2360.02,INR,-2360.02,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-FLATMATES-0470 | Utilities | 2360.02,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0470,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Utilities,MAESTRO-IOS-GROUP-FLATMATES-0470 | Utilities | 2360.02,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
473,MTR-IOS-0473,Group,Shared Living,Flatmates,Groceries,Expense,2026-06-01,03:02:10,2026-06-01 03:02:10,14536.73,INR,-14536.73,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-FLATMATES-0473 | Groceries | 14536.73,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0473,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Groceries,MAESTRO-IOS-GROUP-FLATMATES-0473 | Groceries | 14536.73,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
476,MTR-IOS-0476,Group,Shared Living,Flatmates,Internet,Expense,2026-07-08,16:45:36,2026-07-08 16:45:36,6715.64,INR,-6715.64,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-FLATMATES-0476 | Internet | 6715.64,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0476,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Internet,MAESTRO-IOS-GROUP-FLATMATES-0476 | Internet | 6715.64,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
479,MTR-IOS-0479,Group,Shared Living,Flatmates,House Supplies,Expense,2026-01-09,05:57:16,2026-01-09 05:57:16,10908.23,INR,-10908.23,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FLATMATES-0479 | House Supplies | 10908.23,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0479,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,House Supplies,MAESTRO-IOS-GROUP-FLATMATES-0479 | House Supplies | 10908.23,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
482,MTR-IOS-0482,Group,Shared Living,Flatmates,Repairs,Expense,2026-04-08,18:16:19,2026-04-08 18:16:19,20617.72,INR,-20617.72,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-FLATMATES-0482 | Repairs | 20617.72,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0482,ios,G09,FLATMATES,Expense,G09:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Repairs,MAESTRO-IOS-GROUP-FLATMATES-0482 | Repairs | 20617.72,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
485,MTR-IOS-0485,Group,Shared Living,Shared Living,Rent,Expense,2026-08-08,12:00:00,2026-08-08 12:00:00,21822.95,INR,-21822.95,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-SHARED_LIVING-0485 | Rent | 21822.95,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0485,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Rent,MAESTRO-IOS-GROUP-SHARED_LIVING-0485 | Rent | 21822.95,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
488,MTR-IOS-0488,Group,Shared Living,Shared Living,Utilities,Expense,2026-01-03,08:53:44,2026-01-03 08:53:44,5684.17,INR,-5684.17,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-SHARED_LIVING-0488 | Utilities | 5684.17,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0488,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Utilities,MAESTRO-IOS-GROUP-SHARED_LIVING-0488 | Utilities | 5684.17,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
491,MTR-IOS-0491,Group,Shared Living,Shared Living,Groceries,Expense,2025-11-12,23:41:25,2025-11-12 23:41:25,17985.42,INR,-17985.42,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-SHARED_LIVING-0491 | Groceries | 17985.42,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0491,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Groceries,MAESTRO-IOS-GROUP-SHARED_LIVING-0491 | Groceries | 17985.42,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
494,MTR-IOS-0494,Group,Shared Living,Shared Living,Maintenance,Expense,2026-04-11,16:58:21,2026-04-11 16:58:21,10322.21,INR,-10322.21,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-SHARED_LIVING-0494 | Maintenance | 10322.21,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0494,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Maintenance,MAESTRO-IOS-GROUP-SHARED_LIVING-0494 | Maintenance | 10322.21,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
497,MTR-IOS-0497,Group,Shared Living,Shared Living,Other,Expense,2025-12-11,17:37:15,2025-12-11 17:37:15,24598.59,INR,-24598.59,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-SHARED_LIVING-0497 | Other | 24598.59,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0497,ios,G11,CO_LIVING,Expense,G11:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Other,MAESTRO-IOS-GROUP-SHARED_LIVING-0497 | Other | 24598.59,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
500,MTR-IOS-0500,Group,Shared Living,Family Household,Groceries,Expense,2025-11-06,13:04:23,2025-11-06 13:04:23,6277.82,INR,-6277.82,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0500 | Groceries | 6277.82,iPhone,B10,BASELINE_1_500,CREATED,idem-20260902-ios-0500,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Groceries,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0500 | Groceries | 6277.82,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
503,MTR-IOS-0503,Group,Shared Living,Family Household,Bills,Expense,2026-03-23,01:27:27,2026-03-23 01:27:27,23613.28,INR,-23613.28,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0503 | Bills | 23613.28,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0503,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Bills,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0503 | Bills | 23613.28,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
506,MTR-IOS-0506,Group,Shared Living,Family Household,School,Expense,2026-07-25,09:59:57,2026-07-25 09:59:57,1216.54,INR,-1216.54,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0506 | School | 1216.54,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0506,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,School,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0506 | School | 1216.54,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
509,MTR-IOS-0509,Group,Shared Living,Family Household,Healthcare,Expense,2026-04-08,01:19:16,2026-04-08 01:19:16,5220.62,INR,-5220.62,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0509 | Healthcare | 5220.62,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0509,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Healthcare,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0509 | Healthcare | 5220.62,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
512,MTR-IOS-0512,Group,Shared Living,Family Household,Home,Expense,2025-09-22,01:28:35,2025-09-22 01:28:35,951.35,INR,-951.35,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0512 | Home | 951.35,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0512,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Home,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0512 | Home | 951.35,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
515,MTR-IOS-0515,Group,Shared Living,Family Household,Other,Expense,2025-10-15,11:52:57,2025-10-15 11:52:57,25779.67,INR,-25779.67,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0515 | Other | 25779.67,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0515,ios,G10,FAMILY_HOUSEHOLD,Expense,G10:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0515 | Other | 25779.67,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
518,MTR-IOS-0518,Group,Shared Living,Custom Living,Custom Expense,Expense,2026-04-13,05:33:08,2026-04-13 05:33:08,99.99,INR,-99.99,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-CUSTOM_LIVING-0518 | Custom Expense | 99.99,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0518,ios,G12,COMMUNITY_LIVING,Expense,G12:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Custom Expense,MAESTRO-IOS-GROUP-CUSTOM_LIVING-0518 | Custom Expense | 99.99,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
521,MTR-IOS-0521,Group,Shared Living,Custom Living,Custom Contribution,Contribution,2026-06-01,19:29:58,2026-06-01 19:29:58,23621.37,INR,23621.37,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-CUSTOM_LIVING-0521 | Custom Contribution | 23621.37,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0521,ios,G12,COMMUNITY_LIVING,Contribute,G12:Contribute,,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.percentage,Custom Contribution,MAESTRO-IOS-GROUP-CUSTOM_LIVING-0521 | Custom Contribution | 23621.37,SKIP_CAPABILITY_GAP,Custom Living hub has no Contribution tile (same as Family Household)
524,MTR-IOS-0524,Group,Shared Experience,Trip,Travel,Expense,2026-05-22,09:04:36,2026-05-22 09:04:36,18277.44,INR,-18277.44,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0524 | Travel | 18277.44,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0524,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Travel,MAESTRO-IOS-GROUP-TRIP-0524 | Travel | 18277.44,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
527,MTR-IOS-0527,Group,Shared Experience,Trip,Stay,Expense,2026-04-19,18:11:50,2026-04-19 18:11:50,24059.04,INR,-24059.04,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-TRIP-0527 | Stay | 24059.04,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0527,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Stay,MAESTRO-IOS-GROUP-TRIP-0527 | Stay | 24059.04,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
530,MTR-IOS-0530,Group,Shared Experience,Trip,Food,Expense,2026-07-11,02:47:40,2026-07-11 02:47:40,17464.22,INR,-17464.22,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0530 | Food | 17464.22,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0530,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Food,MAESTRO-IOS-GROUP-TRIP-0530 | Food | 17464.22,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
533,MTR-IOS-0533,Group,Shared Experience,Trip,Local Transport,Expense,2026-06-24,06:40:32,2026-06-24 06:40:32,24222.35,INR,-24222.35,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-TRIP-0533 | Local Transport | 24222.35,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0533,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Local Transport,MAESTRO-IOS-GROUP-TRIP-0533 | Local Transport | 24222.35,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
536,MTR-IOS-0536,Group,Shared Experience,Trip,Activities,Expense,2025-09-28,14:18:22,2025-09-28 14:18:22,3459.16,INR,-3459.16,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-TRIP-0536 | Activities | 3459.16,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0536,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Activities,MAESTRO-IOS-GROUP-TRIP-0536 | Activities | 3459.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
539,MTR-IOS-0539,Group,Shared Experience,Trip,Shopping,Expense,2025-11-03,19:47:02,2025-11-03 19:47:02,468.24,INR,-468.24,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-TRIP-0539 | Shopping | 468.24,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0539,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Shopping,MAESTRO-IOS-GROUP-TRIP-0539 | Shopping | 468.24,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
542,MTR-IOS-0542,Group,Shared Experience,Trip,Other,Expense,2025-12-22,03:47:17,2025-12-22 03:47:17,2675.69,INR,-2675.69,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-TRIP-0542 | Other | 2675.69,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0542,ios,G01,TRIP,Expense,G01:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Other,MAESTRO-IOS-GROUP-TRIP-0542 | Other | 2675.69,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
545,MTR-IOS-0545,Group,Shared Experience,Wedding,Venue,Expense,2026-08-25,09:12:43,2026-08-25 09:12:43,2138.81,INR,-2138.81,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-WEDDING-0545 | Venue | 2138.81,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0545,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Venue,MAESTRO-IOS-GROUP-WEDDING-0545 | Venue | 2138.81,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
548,MTR-IOS-0548,Group,Shared Experience,Wedding,Catering,Expense,2025-12-24,23:05:35,2025-12-24 23:05:35,384.73,INR,-384.73,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-WEDDING-0548 | Catering | 384.73,iPhone,B11,RAMP_501_1500,CREATED,idem-20260902-ios-0548,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Catering,MAESTRO-IOS-GROUP-WEDDING-0548 | Catering | 384.73,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
551,MTR-IOS-0551,Group,Shared Experience,Wedding,Decor,Expense,2026-05-23,20:23:40,2026-05-23 20:23:40,25205.46,INR,-25205.46,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-WEDDING-0551 | Decor | 25205.46,iPhone,B12,RAMP_501_1500,CREATED,idem-20260902-ios-0551,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Decor,MAESTRO-IOS-GROUP-WEDDING-0551 | Decor | 25205.46,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
554,MTR-IOS-0554,Group,Shared Experience,Wedding,Travel,Expense,2026-07-12,16:16:00,2026-07-12 16:16:00,3297.35,INR,-3297.35,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-WEDDING-0554 | Travel | 3297.35,iPhone,B12,RAMP_501_1500,CREATED,idem-20260902-ios-0554,ios,G02,WEDDING,Expense,G02:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Travel,MAESTRO-IOS-GROUP-WEDDING-0554 | Travel | 3297.35,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
