Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key
1,MTR-IOS-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-01-20,05:40:34,2026-01-20 05:40:34,14066.5,INR,-14066.5,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 14066.50,iPhone,B01,BASELINE_1_500,CREATED,idem-20260902-ios-0001
265,MTR-IOS-0265,Personal,Personal,Relationships,Dates,Expense,2026-07-22,18:54:38,2026-07-22 18:54:38,9511.3,INR,-9511.3,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0265 | Dates | 9511.30,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0265
266,MTR-IOS-0266,Group,Shared Purchase,Purchase,Tax,Expense,2026-02-18,21:05:01,2026-02-18 21:05:01,20835.17,INR,-20835.17,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-PURCHASE-0266 | Tax | 20835.17,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0266
267,MTR-IOS-0267,Business,Business,Team Operations,Travel,Expense,2026-05-11,22:08:46,2026-05-11 22:08:46,60034.72,INR,-60034.72,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0267 | Travel | 60034.72,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0267
268,MTR-IOS-0268,Personal,Personal,Relationships,Family,Expense,2026-05-16,06:23:14,2026-05-16 06:23:14,11878.71,INR,-11878.71,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0268 | Family | 11878.71,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0268
269,MTR-IOS-0269,Group,Shared Purchase,Purchase,Other,Expense,2026-03-19,23:00:53,2026-03-19 23:00:53,7185.47,INR,-7185.47,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-PURCHASE-0269 | Other | 7185.47,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0269
270,MTR-IOS-0270,Business,Business,Team Operations,Training,Expense,2025-11-27,05:31:16,2025-11-27 05:31:16,7332.04,INR,-7332.04,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0270 | Training | 7332.04,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0270
271,MTR-IOS-0271,Personal,Personal,Relationships,Friends,Expense,2026-08-21,12:00:00,2026-08-21 12:00:00,4398.61,INR,-4398.61,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0271 | Friends | 4398.61,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0271
272,MTR-IOS-0272,Group,Shared Purchase,Assets,Purchase,Expense,2026-02-22,10:40:59,2026-02-22 10:40:59,13337.69,INR,-13337.69,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-ASSETS-0272 | Purchase | 13337.69,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0272
273,MTR-IOS-0273,Business,Business,Team Operations,Tools,Expense,2026-05-17,04:21:35,2026-05-17 04:21:35,134438.24,INR,-134438.24,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0273 | Tools | 134438.24,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0273
274,MTR-IOS-0274,Personal,Personal,Relationships,Celebrations,Expense,2026-04-15,16:59:29,2026-04-15 16:59:29,14827.17,INR,-14827.17,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0274 | Celebrations | 14827.17,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0274
275,MTR-IOS-0275,Group,Shared Purchase,Assets,Maintenance,Expense,2025-09-22,18:07:01,2025-09-22 18:07:01,5682.01,INR,-5682.01,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-ASSETS-0275 | Maintenance | 5682.01,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0275
276,MTR-IOS-0276,Business,Business,Business Runway,Funding,Income,2026-01-10,18:26:28,2026-01-10 18:26:28,134066.94,INR,134066.94,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0276 | Funding | 134066.94,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0276
277,MTR-IOS-0277,Personal,Personal,Life Operations,Groceries,Expense,2026-08-11,07:08:52,2026-08-11 07:08:52,5592.82,INR,-5592.82,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0277 | Groceries | 5592.82,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0277
278,MTR-IOS-0278,Group,Shared Purchase,Assets,Repair,Expense,2026-06-17,23:02:10,2026-06-17 23:02:10,25797.51,INR,-25797.51,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-ASSETS-0278 | Repair | 25797.51,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0278
279,MTR-IOS-0279,Business,Business,Business Runway,Revenue,Income,2025-10-06,22:59:50,2025-10-06 22:59:50,56460.54,INR,56460.54,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0279 | Revenue | 56460.54,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0279
280,MTR-IOS-0280,Personal,Personal,Life Operations,Rent,Expense,2026-08-19,08:35:08,2026-08-19 08:35:08,11549.52,INR,-11549.52,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0280 | Rent | 11549.52,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0280
281,MTR-IOS-0281,Group,Shared Purchase,Assets,Insurance,Expense,2025-11-14,02:11:02,2025-11-14 02:11:02,325.85,INR,-325.85,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-ASSETS-0281 | Insurance | 325.85,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0281
282,MTR-IOS-0282,Business,Business,Business Runway,Burn,Expense,2026-02-22,18:20:18,2026-02-22 18:20:18,110941.69,INR,-110941.69,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0282 | Burn | 110941.69,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0282
283,MTR-IOS-0283,Personal,Personal,Life Operations,Bills,Expense,2025-10-24,03:37:30,2025-10-24 03:37:30,14882.51,INR,-14882.51,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0283 | Bills | 14882.51,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0283
284,MTR-IOS-0284,Group,Shared Purchase,Assets,Other,Expense,2026-02-20,15:50:20,2026-02-20 15:50:20,10697.13,INR,-10697.13,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-ASSETS-0284 | Other | 10697.13,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0284
285,MTR-IOS-0285,Business,Business,Business Runway,Reserve,Transfer,2026-02-08,14:07:23,2026-02-08 14:07:23,112784.57,INR,0.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0285 | Reserve | 112784.57,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0285
286,MTR-IOS-0286,Personal,Personal,Life Operations,Transport,Expense,2026-08-02,08:14:46,2026-08-02 08:14:46,9729.48,INR,-9729.48,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0286 | Transport | 9729.48,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0286
287,MTR-IOS-0287,Group,Shared Purchase,Custom Purchase,Custom Expense,Expense,2025-09-09,00:29:39,2025-09-09 00:29:39,21347.47,INR,-21347.47,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0287 | Custom Expense | 21347.47,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0287
288,MTR-IOS-0288,Business,Business,Business Runway,Loan,Income,2026-04-27,11:14:53,2026-04-27 11:14:53,77071.73,INR,77071.73,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0288 | Loan | 77071.73,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0288
289,MTR-IOS-0289,Personal,Personal,Life Operations,Healthcare,Expense,2026-03-02,13:35:08,2026-03-02 13:35:08,16085.69,INR,-16085.69,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0289 | Healthcare | 16085.69,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0289
290,MTR-IOS-0290,Group,Shared Purchase,Custom Purchase,Custom Contribution,Contribution,2026-03-30,22:43:03,2026-03-30 22:43:03,9774.29,INR,9774.29,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-CUSTOM_PURCHASE-0290 | Custom Contribution | 9774.29,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0290
291,MTR-IOS-0291,Business,Business,Business Runway,Investment,Income,2026-01-01,02:49:06,2026-01-01 02:49:06,57205.57,INR,57205.57,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0291 | Investment | 57205.57,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0291
292,MTR-IOS-0292,Personal,Personal,Life Operations,Subscriptions,Expense,2025-10-06,13:19:44,2025-10-06 13:19:44,7371.63,INR,-7371.63,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0292 | Subscriptions | 7371.63,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0292
293,MTR-IOS-0293,Group,Shared Living,Flatmates,Rent,Expense,2025-10-06,03:29:10,2025-10-06 03:29:10,25125.18,INR,-25125.18,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-FLATMATES-0293 | Rent | 25125.18,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0293
294,MTR-IOS-0294,Business,Business,Business Operations,Software,Expense,2026-01-11,16:33:20,2026-01-11 16:33:20,107467.51,INR,-107467.51,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0294 | Software | 107467.51,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0294
295,MTR-IOS-0295,Personal,Personal,Life Operations,Repairs,Expense,2025-12-20,21:20:06,2025-12-20 21:20:06,2441.06,INR,-2441.06,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0295 | Repairs | 2441.06,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0295
296,MTR-IOS-0296,Group,Shared Living,Flatmates,Utilities,Expense,2025-11-05,19:14:53,2025-11-05 19:14:53,99.99,INR,-99.99,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-FLATMATES-0296 | Utilities | 99.99,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0296
297,MTR-IOS-0297,Business,Business,Business Operations,Rent,Expense,2026-04-17,01:04:32,2026-04-17 01:04:32,36571.42,INR,-36571.42,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0297 | Rent | 36571.42,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0297
298,MTR-IOS-0298,Personal,Personal,Future Building,Savings,Transfer,2026-07-13,21:22:48,2026-07-13 21:22:48,12711.96,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0298 | Savings | 12711.96,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0298
299,MTR-IOS-0299,Group,Shared Living,Flatmates,Groceries,Expense,2026-02-04,07:58:25,2026-02-04 07:58:25,18077.99,INR,-18077.99,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FLATMATES-0299 | Groceries | 18077.99,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0299
300,MTR-IOS-0300,Business,Business,Business Operations,Marketing,Expense,2026-05-21,09:22:49,2026-05-21 09:22:49,33783.66,INR,-33783.66,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0300 | Marketing | 33783.66,iPhone,B06,BASELINE_1_500,CREATED,idem-20260902-ios-0300
301,MTR-IOS-0301,Personal,Personal,Future Building,Emergency Fund,Transfer,2026-08-08,12:42:32,2026-08-08 12:42:32,9488.33,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0301 | Emergency Fund | 9488.33,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0301
302,MTR-IOS-0302,Group,Shared Living,Flatmates,Internet,Expense,2025-10-05,04:41:28,2025-10-05 04:41:28,308.75,INR,-308.75,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-FLATMATES-0302 | Internet | 308.75,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0302
303,MTR-IOS-0303,Business,Business,Business Operations,Legal,Expense,2026-08-20,19:34:25,2026-08-20 19:34:25,104511.21,INR,-104511.21,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0303 | Legal | 104511.21,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0303
304,MTR-IOS-0304,Personal,Personal,Future Building,Investments,Investment,2026-04-29,06:16:19,2026-04-29 06:16:19,2794.17,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0304 | Investments | 2794.17,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0304
305,MTR-IOS-0305,Group,Shared Living,Flatmates,House Supplies,Expense,2025-11-04,06:54:05,2025-11-04 06:54:05,21035.19,INR,-21035.19,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-FLATMATES-0305 | House Supplies | 21035.19,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0305
306,MTR-IOS-0306,Business,Business,Business Operations,Accounting,Expense,2026-08-15,06:56:24,2026-08-15 06:56:24,163472.03,INR,-163472.03,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0306 | Accounting | 163472.03,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0306
307,MTR-IOS-0307,Personal,Personal,Future Building,Education,Expense,2026-05-13,00:10:12,2026-05-13 00:10:12,107.59,INR,-107.59,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0307 | Education | 107.59,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0307
308,MTR-IOS-0308,Group,Shared Living,Flatmates,Repairs,Expense,2026-05-13,11:11:13,2026-05-13 11:11:13,8538.32,INR,-8538.32,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-FLATMATES-0308 | Repairs | 8538.32,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0308
309,MTR-IOS-0309,Business,Business,Business Operations,Equipment,Expense,2025-11-17,21:36:18,2025-11-17 21:36:18,164742.8,INR,-164742.8,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0309 | Equipment | 164742.80,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0309
310,MTR-IOS-0310,Personal,Personal,Future Building,Goal Contribution,Transfer,2026-07-30,02:26:00,2026-07-30 02:26:00,3276.39,INR,0.0,IOS Owner,,,MAESTRO-IOS-PERSONAL-FUTURE_BUILDING-0310 | Goal Contribution | 3276.39,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0310
311,MTR-IOS-0311,Group,Shared Living,Shared Living,Rent,Expense,2026-01-31,01:41:03,2026-01-31 01:41:03,15767.35,INR,-15767.35,IOS Aarav,3,SHARES,MAESTRO-IOS-GROUP-SHARED_LIVING-0311 | Rent | 15767.35,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0311
312,MTR-IOS-0312,Business,Business,Business Operations,Vendor,Expense,2026-06-26,05:26:05,2026-06-26 05:26:05,160141.82,INR,-160141.82,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0312 | Vendor | 160141.82,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0312
313,MTR-IOS-0313,Personal,Personal,Lifestyle,Dining,Expense,2026-07-07,23:08:54,2026-07-07 23:08:54,12783.22,INR,-12783.22,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0313 | Dining | 12783.22,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0313
314,MTR-IOS-0314,Group,Shared Living,Shared Living,Utilities,Expense,2026-04-05,10:53:07,2026-04-05 10:53:07,1701.74,INR,-1701.74,IOS Meera,3,EQUAL,MAESTRO-IOS-GROUP-SHARED_LIVING-0314 | Utilities | 1701.74,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0314
315,MTR-IOS-0315,Business,Business,Business Operations,Tax,Expense,2026-05-08,14:25:21,2026-05-08 14:25:21,137200.68,INR,-137200.68,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_OPERATIONS-0315 | Tax | 137200.68,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0315
316,MTR-IOS-0316,Personal,Personal,Lifestyle,Shopping,Expense,2026-03-03,07:23:33,2026-03-03 07:23:33,9348.82,INR,-9348.82,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0316 | Shopping | 9348.82,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0316
317,MTR-IOS-0317,Group,Shared Living,Shared Living,Groceries,Expense,2026-08-11,07:31:19,2026-08-11 07:31:19,4985.51,INR,-4985.51,IOS Owner,3,PERCENTAGE,MAESTRO-IOS-GROUP-SHARED_LIVING-0317 | Groceries | 4985.51,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0317
318,MTR-IOS-0318,Business,Business,Team Operations,Payroll,Expense,2026-08-07,16:34:17,2026-08-07 16:34:17,19059.36,INR,-19059.36,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0318 | Payroll | 19059.36,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0318
319,MTR-IOS-0319,Personal,Personal,Lifestyle,Entertainment,Expense,2025-12-25,05:37:55,2025-12-25 05:37:55,4961.61,INR,-4961.61,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0319 | Entertainment | 4961.61,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0319
320,MTR-IOS-0320,Group,Shared Living,Shared Living,Maintenance,Expense,2026-04-10,15:17:49,2026-04-10 15:17:49,5889.92,INR,-5889.92,IOS Aarav,3,EXACT,MAESTRO-IOS-GROUP-SHARED_LIVING-0320 | Maintenance | 5889.92,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0320
321,MTR-IOS-0321,Business,Business,Team Operations,Contractor,Expense,2025-10-09,07:26:44,2025-10-09 07:26:44,48191.3,INR,-48191.3,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0321 | Contractor | 48191.30,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0321
322,MTR-IOS-0322,Personal,Personal,Lifestyle,Travel,Expense,2025-11-30,04:08:59,2025-11-30 04:08:59,8717.02,INR,-8717.02,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0322 | Travel | 8717.02,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0322
323,MTR-IOS-0323,Group,Shared Living,Shared Living,Other,Expense,2026-08-13,20:59:38,2026-08-13 20:59:38,5755.9,INR,-5755.9,IOS Meera,3,SHARES,MAESTRO-IOS-GROUP-SHARED_LIVING-0323 | Other | 5755.90,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0323
324,MTR-IOS-0324,Business,Business,Team Operations,Hiring,Expense,2026-06-09,06:04:44,2026-06-09 06:04:44,131213.76,INR,-131213.76,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0324 | Hiring | 131213.76,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0324
325,MTR-IOS-0325,Personal,Personal,Lifestyle,Fitness,Expense,2026-02-05,10:27:13,2026-02-05 10:27:13,9077.91,INR,-9077.91,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0325 | Fitness | 9077.91,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0325
326,MTR-IOS-0326,Group,Shared Living,Family Household,School,Expense,2025-10-29,01:39:39,2025-10-29 01:39:39,295.7,INR,-295.7,IOS Owner,3,EQUAL,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0326 | School | 295.70,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0326
327,MTR-IOS-0327,Business,Business,Team Operations,Team Meal,Expense,2026-02-23,15:51:18,2026-02-23 15:51:18,57961.3,INR,-57961.3,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0327 | Team Meal | 57961.30,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0327
328,MTR-IOS-0328,Personal,Personal,Lifestyle,Hobbies,Expense,2026-07-29,02:46:58,2026-07-29 02:46:58,1158.29,INR,-1158.29,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFESTYLE-0328 | Hobbies | 1158.29,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0328
329,MTR-IOS-0329,Group,Shared Living,Family Household,Other,Expense,2026-06-06,03:30:18,2026-06-06 03:30:18,6671.33,INR,-6671.33,IOS Aarav,3,PERCENTAGE,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0329 | Other | 6671.33,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0329
330,MTR-IOS-0330,Business,Business,Team Operations,Travel,Expense,2025-09-07,22:48:45,2025-09-07 22:48:45,163231.59,INR,-163231.59,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0330 | Travel | 163231.59,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0330
331,MTR-IOS-0331,Personal,Personal,Relationships,Gifts,Expense,2025-10-16,15:36:28,2025-10-16 15:36:28,9057.81,INR,-9057.81,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0331 | Gifts | 9057.81,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0331
332,MTR-IOS-0332,Group,Shared Living,Family Household,Rent,Expense,2026-04-16,11:39:54,2026-04-16 11:39:54,1392.0,INR,-1392.0,IOS Meera,3,EXACT,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0332 | Rent | 1392.00,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0332
333,MTR-IOS-0333,Business,Business,Team Operations,Training,Expense,2026-04-28,17:46:57,2026-04-28 17:46:57,100.0,INR,-100.0,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0333 | Training | 100.00,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0333
334,MTR-IOS-0334,Personal,Personal,Relationships,Dates,Expense,2026-06-16,05:47:22,2026-06-16 05:47:22,4156.33,INR,-4156.33,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0334 | Dates | 4156.33,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0334
335,MTR-IOS-0335,Group,Shared Living,Family Household,Groceries,Expense,2026-03-14,15:09:37,2026-03-14 15:09:37,11897.85,INR,-11897.85,IOS Owner,3,SHARES,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0335 | Groceries | 11897.85,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0335
336,MTR-IOS-0336,Business,Business,Team Operations,Tools,Expense,2025-09-24,14:45:01,2025-09-24 14:45:01,156108.48,INR,-156108.48,IOS Owner,,,MAESTRO-IOS-BUSINESS-TEAM_OPERATIONS-0336 | Tools | 156108.48,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0336
337,MTR-IOS-0337,Personal,Personal,Relationships,Family,Expense,2025-11-27,20:39:31,2025-11-27 20:39:31,12797.71,INR,-12797.71,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0337 | Family | 12797.71,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0337
338,MTR-IOS-0338,Group,Shared Living,Family Household,Transport,Expense,2026-07-12,12:59:31,2026-07-12 12:59:31,8898.84,INR,-8898.84,IOS Aarav,3,EQUAL,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0338 | Transport | 8898.84,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0338
339,MTR-IOS-0339,Business,Business,Business Runway,Funding,Income,2026-07-11,16:23:09,2026-07-11 16:23:09,161396.3,INR,161396.3,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0339 | Funding | 161396.30,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0339
340,MTR-IOS-0340,Personal,Personal,Relationships,Friends,Expense,2025-11-25,21:34:09,2025-11-25 21:34:09,1327.72,INR,-1327.72,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0340 | Friends | 1327.72,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0340
341,MTR-IOS-0341,Group,Shared Living,Family Household,Bills,Expense,2025-11-05,21:05:14,2025-11-05 21:05:14,24254.23,INR,-24254.23,IOS Meera,3,PERCENTAGE,MAESTRO-IOS-GROUP-FAMILY_HOUSEHOLD-0341 | Bills | 24254.23,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0341
342,MTR-IOS-0342,Business,Business,Business Runway,Revenue,Income,2025-09-05,12:00:45,2025-09-05 12:00:45,124440.75,INR,124440.75,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0342 | Revenue | 124440.75,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0342
343,MTR-IOS-0343,Personal,Personal,Relationships,Celebrations,Expense,2026-07-24,05:13:24,2026-07-24 05:13:24,8340.26,INR,-8340.26,IOS Owner,,,MAESTRO-IOS-PERSONAL-RELATIONSHIPS-0343 | Celebrations | 8340.26,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0343
344,MTR-IOS-0344,Group,Shared Living,Custom Living,Custom Expense,Expense,2026-01-18,05:49:17,2026-01-18 05:49:17,19090.95,INR,-19090.95,IOS Owner,3,EXACT,MAESTRO-IOS-GROUP-CUSTOM_LIVING-0344 | Custom Expense | 19090.95,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0344
345,MTR-IOS-0345,Business,Business,Business Runway,Burn,Expense,2026-05-29,22:50:59,2026-05-29 22:50:59,103311.44,INR,-103311.44,IOS Owner,,,MAESTRO-IOS-BUSINESS-BUSINESS_RUNWAY-0345 | Burn | 103311.44,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0345
346,MTR-IOS-0346,Personal,Personal,Life Operations,Groceries,Expense,2026-08-07,21:43:42,2026-08-07 21:43:42,12336.92,INR,-12336.92,IOS Owner,,,MAESTRO-IOS-PERSONAL-LIFE_OPERATIONS-0346 | Groceries | 12336.92,iPhone,B07,BASELINE_1_500,CREATED,idem-20260902-ios-0346
