Sequence,Txn_ID,Mode,Family,Moment,Quick_Add,Semantic_Type,Txn_Date,Txn_Time,Timestamp,Amount,Currency,Expected_Signed_Amount,Paid_By,Participant_Count,Split_Method,Description,Device_Target,Run_Batch,Backend_Load_Band,Expected_Status,Idempotency_Key,Platform,catalog_moment_id,catalog_moment_type,catalog_quick_add,catalog_id,catalog_status,tile_maestro_id,amount_maestro_id,note_maestro_id,submit_maestro_id,split_maestro_id,category_value,correlation_note,join_status,join_notes
1,MTR-APK-0001,Personal,Personal,Life Operations,Groceries,Expense,2026-07-10,13:10:57,2026-07-10 13:10:57,16337.79,INR,-16337.79,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0001,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0001 | Groceries | 16337.79,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
43,MTR-APK-0043,Personal,Personal,Lifestyle,Entertainment,Expense,2026-05-03,17:13:45,2026-05-03 17:13:45,7994.28,INR,-7994.28,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0043 | Entertainment | 7994.28,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0043,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Entertainment,MAESTRO-APK-PERSONAL-LIFESTYLE-0043 | Entertainment | 7994.28,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
44,MTR-APK-0044,Group,Shared Experience,Office Outing,Food,Expense,2026-06-20,04:38:35,2026-06-20 04:38:35,14815.69,INR,-14815.69,APK Meera,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0044 | Food | 14815.69,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0044,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Food,MAESTRO-APK-GROUP-OFFICE_OUTING-0044 | Food | 14815.69,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
45,MTR-APK-0045,Business,Business,Business Operations,Rent,Expense,2026-04-19,14:18:48,2026-04-19 14:18:48,5270.11,INR,-5270.11,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 5270.11,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0045,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Rent,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0045 | Rent | 5270.11,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
46,MTR-APK-0046,Personal,Personal,Lifestyle,Travel,Expense,2026-08-29,11:21:48,2026-08-29 11:21:48,7775.49,INR,-7775.49,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0046 | Travel | 7775.49,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0046,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Travel,MAESTRO-APK-PERSONAL-LIFESTYLE-0046 | Travel | 7775.49,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
47,MTR-APK-0047,Group,Shared Experience,Office Outing,Travel,Expense,2025-11-05,13:23:38,2025-11-05 13:23:38,11627.17,INR,-11627.17,APK Owner,3,SHARES,MAESTRO-APK-GROUP-OFFICE_OUTING-0047 | Travel | 11627.17,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0047,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Travel,MAESTRO-APK-GROUP-OFFICE_OUTING-0047 | Travel | 11627.17,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
48,MTR-APK-0048,Business,Business,Business Operations,Marketing,Expense,2026-01-20,04:43:33,2026-01-20 04:43:33,2624.6,INR,-2624.6,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 2624.60,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0048,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Marketing,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0048 | Marketing | 2624.60,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
49,MTR-APK-0049,Personal,Personal,Lifestyle,Fitness,Expense,2026-03-02,02:43:25,2026-03-02 02:43:25,5113.0,INR,-5113.0,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0049 | Fitness | 5113.00,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0049,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Fitness,MAESTRO-APK-PERSONAL-LIFESTYLE-0049 | Fitness | 5113.00,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
50,MTR-APK-0050,Group,Shared Experience,Office Outing,Activities,Expense,2026-06-04,20:06:57,2026-06-04 20:06:57,6311.85,INR,-6311.85,APK Aarav,3,EQUAL,MAESTRO-APK-GROUP-OFFICE_OUTING-0050 | Activities | 6311.85,Android,B01,BASELINE_1_500,CREATED,idem-20260902-apk-0050,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Activities,MAESTRO-APK-GROUP-OFFICE_OUTING-0050 | Activities | 6311.85,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
51,MTR-APK-0051,Business,Business,Business Operations,Legal,Expense,2026-08-22,20:48:43,2026-08-22 20:48:43,107443.48,INR,-107443.48,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 107443.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0051,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Legal,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0051 | Legal | 107443.48,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
52,MTR-APK-0052,Personal,Personal,Lifestyle,Hobbies,Expense,2025-10-15,16:58:28,2025-10-15 16:58:28,7665.21,INR,-7665.21,APK Owner,,,MAESTRO-APK-PERSONAL-LIFESTYLE-0052 | Hobbies | 7665.21,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0052,android,P3,LIFESTYLE,Experience,P3:Experience,ACTIVE,qa.tile.experience,personal.income.amount,personal.income.note,personal.income.submit,,Hobbies,MAESTRO-APK-PERSONAL-LIFESTYLE-0052 | Hobbies | 7665.21,JOINED_REVIEW,No Expense hub on P3; lifestyle spend uses Experience proxy — REVIEW
53,MTR-APK-0053,Group,Shared Experience,Office Outing,Venue,Expense,2025-09-26,11:34:01,2025-09-26 11:34:01,11630.08,INR,-11630.08,APK Meera,3,PERCENTAGE,MAESTRO-APK-GROUP-OFFICE_OUTING-0053 | Venue | 11630.08,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0053,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Venue,MAESTRO-APK-GROUP-OFFICE_OUTING-0053 | Venue | 11630.08,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
54,MTR-APK-0054,Business,Business,Business Operations,Accounting,Expense,2025-12-22,02:58:38,2025-12-22 02:58:38,110391.35,INR,-110391.35,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 110391.35,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0054,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Accounting,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0054 | Accounting | 110391.35,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
55,MTR-APK-0055,Personal,Personal,Relationships,Gifts,Expense,2026-04-24,08:21:19,2026-04-24 08:21:19,15569.83,INR,-15569.83,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0055 | Gifts | 15569.83,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0055,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Gifts,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0055 | Gifts | 15569.83,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
56,MTR-APK-0056,Group,Shared Experience,Office Outing,Other,Expense,2026-06-16,13:55:36,2026-06-16 13:55:36,22985.03,INR,-22985.03,APK Owner,3,EXACT,MAESTRO-APK-GROUP-OFFICE_OUTING-0056 | Other | 22985.03,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0056,android,G04,OFFICE_OUTING,Expense,G04:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Other,MAESTRO-APK-GROUP-OFFICE_OUTING-0056 | Other | 22985.03,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
57,MTR-APK-0057,Business,Business,Business Operations,Equipment,Expense,2026-01-13,17:57:32,2026-01-13 17:57:32,109239.85,INR,-109239.85,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 109239.85,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0057,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Equipment,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0057 | Equipment | 109239.85,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
58,MTR-APK-0058,Personal,Personal,Relationships,Dates,Expense,2026-08-06,13:20:58,2026-08-06 13:20:58,6870.56,INR,-6870.56,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0058 | Dates | 6870.56,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0058,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Dates,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0058 | Dates | 6870.56,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
59,MTR-APK-0059,Group,Shared Experience,House Party,Food,Expense,2026-07-04,00:12:17,2026-07-04 00:12:17,12820.18,INR,-12820.18,APK Aarav,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0059 | Food | 12820.18,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0059,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Food,MAESTRO-APK-GROUP-HOUSE_PARTY-0059 | Food | 12820.18,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
60,MTR-APK-0060,Business,Business,Business Operations,Vendor,Expense,2026-03-28,17:15:52,2026-03-28 17:15:52,131027.34,INR,-131027.34,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 131027.34,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0060,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Vendor,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0060 | Vendor | 131027.34,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
61,MTR-APK-0061,Personal,Personal,Relationships,Family,Expense,2025-11-18,01:41:56,2025-11-18 01:41:56,18879.6,INR,-18879.6,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0061 | Family | 18879.60,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0061,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Family,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0061 | Family | 18879.60,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
62,MTR-APK-0062,Group,Shared Experience,House Party,Drinks,Expense,2026-01-02,05:45:12,2026-01-02 05:45:12,4283.14,INR,-4283.14,APK Meera,3,EQUAL,MAESTRO-APK-GROUP-HOUSE_PARTY-0062 | Drinks | 4283.14,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0062,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.equal,Drinks,MAESTRO-APK-GROUP-HOUSE_PARTY-0062 | Drinks | 4283.14,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
63,MTR-APK-0063,Business,Business,Business Operations,Tax,Expense,2026-04-27,07:47:25,2026-04-27 07:47:25,95718.07,INR,-95718.07,APK Owner,,,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 95718.07,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0063,android,B03,BUSINESS_OPERATIONS,Spend Entry,B03:Spend Entry,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tax,MAESTRO-APK-BUSINESS-BUSINESS_OPERATIONS-0063 | Tax | 95718.07,JOINED,Ops Log Spend Entry; amount ID business.expense.amount
64,MTR-APK-0064,Personal,Personal,Relationships,Friends,Expense,2025-10-05,14:26:43,2025-10-05 14:26:43,9170.48,INR,-9170.48,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0064 | Friends | 9170.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0064,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Friends,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0064 | Friends | 9170.48,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
65,MTR-APK-0065,Group,Shared Experience,House Party,Decor,Expense,2026-03-19,07:18:10,2026-03-19 07:18:10,29301.22,INR,-29301.22,APK Owner,3,PERCENTAGE,MAESTRO-APK-GROUP-HOUSE_PARTY-0065 | Decor | 29301.22,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0065,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Decor,MAESTRO-APK-GROUP-HOUSE_PARTY-0065 | Decor | 29301.22,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
66,MTR-APK-0066,Business,Business,Team Operations,Payroll,Expense,2025-10-31,18:45:19,2025-10-31 18:45:19,23122.72,INR,-23122.72,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 23122.72,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0066,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Payroll,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0066 | Payroll | 23122.72,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
67,MTR-APK-0067,Personal,Personal,Relationships,Celebrations,Expense,2026-04-05,02:10:13,2026-04-05 02:10:13,16346.55,INR,-16346.55,APK Owner,,,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 16346.55,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0067,android,P4,RELATIONSHIP_CONNECTION,Shared Exp,P4:Shared Exp,ACTIVE,qa.tile.shared_exp,personal.income.amount,personal.income.note,personal.income.submit,,Celebrations,MAESTRO-APK-PERSONAL-RELATIONSHIPS-0067 | Celebrations | 16346.55,JOINED_REVIEW,Relationship spend categories use Shared Exp proxy — REVIEW
68,MTR-APK-0068,Group,Shared Experience,House Party,Supplies,Expense,2025-09-07,18:52:07,2025-09-07 18:52:07,28184.27,INR,-28184.27,APK Aarav,3,EXACT,MAESTRO-APK-GROUP-HOUSE_PARTY-0068 | Supplies | 28184.27,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0068,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Supplies,MAESTRO-APK-GROUP-HOUSE_PARTY-0068 | Supplies | 28184.27,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
69,MTR-APK-0069,Business,Business,Team Operations,Contractor,Expense,2026-05-13,17:27:47,2026-05-13 17:27:47,120446.8,INR,-120446.8,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 120446.80,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0069,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Contractor,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0069 | Contractor | 120446.80,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
70,MTR-APK-0070,Personal,Personal,Life Operations,Groceries,Expense,2025-09-24,05:11:22,2025-09-24 05:11:22,10067.64,INR,-10067.64,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 10067.64,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0070,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Groceries,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0070 | Groceries | 10067.64,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
71,MTR-APK-0071,Group,Shared Experience,House Party,Other,Expense,2026-01-23,14:50:12,2026-01-23 14:50:12,20798.48,INR,-20798.48,APK Meera,3,SHARES,MAESTRO-APK-GROUP-HOUSE_PARTY-0071 | Other | 20798.48,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0071,android,G03,HOUSE_PARTY,Expense,G03:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-HOUSE_PARTY-0071 | Other | 20798.48,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
72,MTR-APK-0072,Business,Business,Team Operations,Hiring,Expense,2026-07-13,01:10:33,2026-07-13 01:10:33,67719.91,INR,-67719.91,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 67719.91,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0072,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Hiring,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0072 | Hiring | 67719.91,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
73,MTR-APK-0073,Personal,Personal,Life Operations,Rent,Expense,2025-11-15,18:17:10,2025-11-15 18:17:10,5337.02,INR,-5337.02,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 5337.02,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0073,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Rent,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0073 | Rent | 5337.02,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
74,MTR-APK-0074,Group,Shared Purchase,Gift Pool,Contribution,Contribution,2026-02-12,14:57:31,2026-02-12 14:57:31,99.99,INR,99.99,APK Owner,3,EQUAL,MAESTRO-APK-GROUP-GIFT_POOL-0074 | Contribution | 99.99,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0074,android,G05,GIFT_POOL,Contribute,G05:Contribute,ACTIVE,qa.tile.contribute,group.contribute.amount,group.contribute.note,group.contribute.submit,group.expense.split.equal,Contribution,MAESTRO-APK-GROUP-GIFT_POOL-0074 | Contribution | 99.99,JOINED,
75,MTR-APK-0075,Business,Business,Team Operations,Team Meal,Expense,2026-02-28,18:14:55,2026-02-28 18:14:55,65179.98,INR,-65179.98,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 65179.98,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0075,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Team Meal,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0075 | Team Meal | 65179.98,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
76,MTR-APK-0076,Personal,Personal,Life Operations,Bills,Expense,2026-05-18,21:24:04,2026-05-18 21:24:04,4157.82,INR,-4157.82,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 4157.82,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0076,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Bills,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0076 | Bills | 4157.82,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
77,MTR-APK-0077,Group,Shared Purchase,Gift Pool,Gift Purchase,Expense,2025-12-09,16:37:01,2025-12-09 16:37:01,6564.16,INR,-6564.16,APK Aarav,3,PERCENTAGE,MAESTRO-APK-GROUP-GIFT_POOL-0077 | Gift Purchase | 6564.16,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0077,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.percentage,Gift Purchase,MAESTRO-APK-GROUP-GIFT_POOL-0077 | Gift Purchase | 6564.16,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
78,MTR-APK-0078,Business,Business,Team Operations,Travel,Expense,2026-02-01,08:52:19,2026-02-01 08:52:19,115262.49,INR,-115262.49,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 115262.49,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0078,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Travel,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0078 | Travel | 115262.49,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
79,MTR-APK-0079,Personal,Personal,Life Operations,Transport,Expense,2026-04-08,18:02:20,2026-04-08 18:02:20,13324.17,INR,-13324.17,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 13324.17,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0079,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Transport,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0079 | Transport | 13324.17,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
80,MTR-APK-0080,Group,Shared Purchase,Gift Pool,Delivery,Expense,2025-12-23,01:40:13,2025-12-23 01:40:13,14120.63,INR,-14120.63,APK Meera,3,EXACT,MAESTRO-APK-GROUP-GIFT_POOL-0080 | Delivery | 14120.63,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0080,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.exact,Delivery,MAESTRO-APK-GROUP-GIFT_POOL-0080 | Delivery | 14120.63,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
81,MTR-APK-0081,Business,Business,Team Operations,Training,Expense,2026-08-15,04:07:15,2026-08-15 04:07:15,32182.44,INR,-32182.44,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0081 | Training | 32182.44,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0081,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Training,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0081 | Training | 32182.44,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
82,MTR-APK-0082,Personal,Personal,Life Operations,Healthcare,Expense,2026-08-10,09:13:32,2026-08-10 09:13:32,3299.5,INR,-3299.5,APK Owner,,,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 3299.50,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0082,android,P1,LIFE_RHYTHM,Income,P1:Income,ACTIVE,qa.tile.income,personal.income.amount,personal.income.note,personal.income.submit,,Healthcare,MAESTRO-APK-PERSONAL-LIFE_OPERATIONS-0082 | Healthcare | 3299.50,JOINED,Ledger category → money form; Android hub Income / iOS Expense label drift
83,MTR-APK-0083,Group,Shared Purchase,Gift Pool,Other,Expense,2026-07-01,04:07:46,2026-07-01 04:07:46,29651.68,INR,-29651.68,APK Owner,3,SHARES,MAESTRO-APK-GROUP-GIFT_POOL-0083 | Other | 29651.68,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0083,android,G05,GIFT_POOL,Expense,G05:Expense,ACTIVE,qa.tile.expense,group.expense.amount,group.expense.note,group.expense.submit,group.expense.split.shares,Other,MAESTRO-APK-GROUP-GIFT_POOL-0083 | Other | 29651.68,JOINED,Ledger Quick_Add is expense category; Split_Method drives group.expense.split.*
84,MTR-APK-0084,Business,Business,Team Operations,Tools,Expense,2026-03-17,05:28:56,2026-03-17 05:28:56,152613.88,INR,-152613.88,APK Owner,,,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 152613.88,Android,B02,BASELINE_1_500,CREATED,idem-20260902-apk-0084,android,B01,TEAM_OPERATIONS,Team Update,B01:Team Update,ACTIVE,,business.expense.amount,business.expense.note,business.expense.submit,,Tools,MAESTRO-APK-BUSINESS-TEAM_OPERATIONS-0084 | Tools | 152613.88,JOINED,Team Ops hub has no Expense; Team meal/travel etc. use Team Update until Spend path wired — prefer B03 Spend for ops expenses
